ADM_CD,구,행정동명,법정동추정명,지도기준일자,기준연월,세대수,총인구,19세이상인구,65세이상인구,생산가능인구_19_64세,세대당_총인구,생산가능인구비율_19_64세,65세이상인구비율,법정동명,건축유형,매매_거래건수,매매가_평당_중앙값,매매가_평당_평균,매매가_총액_중앙값,매매_전용면적_중앙값,매매_거래건수_주의,전세_거래건수,전세보증금_평당_중앙값,전세보증금_평당_평균,전세보증금_총액_중앙값,전세_전용면적_중앙값,전세_거래건수_주의,월세_거래건수,월세보증금_평당_중앙값,월세_평당_중앙값,월세보증금_총액_중앙값,월세_총액_중앙값,월세_전용면적_중앙값,월세_거래건수_주의,가격매핑방식
31021530,수정구,신흥3동,신흥동,20250630,2026-03,6455,10623,9957,2640,7317,1.64570100697134,0.6887884778311212,0.24851736797514826,신흥동,오피스텔,61.0,1798.6751243487845,1740.6071426357719,36000.0,65.1836,False,111.0,1754.903782349038,1727.216322680132,33000.0,67.05,False,51.0,251.69788335617483,5.0713565636642555,5000.0,50.0,53.74,False,행정동명에서 숫자를 제거한 법정동명 추정 매핑
31021540,수정구,태평1동,태평동,20250630,2026-03,8252,13530,12795,3647,9148,1.6396025206010665,0.6761271249076127,0.2695491500369549,태평동,단독_다가구,190.0,1320.5447522870274,1427.404829904687,49000.0,120.59,False,911.0,898.1525086035138,883.9549658609114,10000.0,38.54,False,2072.0,71.4304235090752,4.407733333333333,500.0,45.0,37.0,False,행정동명에서 숫자를 제거한 법정동명 추정 매핑
31021540,수정구,태평1동,태평동,20250630,2026-03,8252,13530,12795,3647,9148,1.6396025206010665,0.6761271249076127,0.2695491500369549,태평동,아파트,107.0,3214.9122550453353,3199.9305504096674,68500.0,59.9729,False,118.0,1981.2435593092787,1990.6575874696694,44350.0,59.9729,False,122.0,212.006746660339,9.285208850352685,1000.0,65.0,18.16,False,행정동명에서 숫자를 제거한 법정동명 추정 매핑
31021540,수정구,태평1동,태평동,20250630,2026-03,8252,13530,12795,3647,9148,1.6396025206010665,0.6761271249076127,0.2695491500369549,태평동,연립_다세대,142.0,1761.9182055599044,1815.521461860932,27900.0,49.81,False,158.0,1201.7822950307796,1230.8631554460883,20000.0,53.385000000000005,False,118.0,144.86415425065732,4.469022788721515,2000.0,55.0,41.019999999999996,False,행정동명에서 숫자를 제거한 법정동명 추정 매핑
31021540,수정구,태평1동,태평동,20250630,2026-03,8252,13530,12795,3647,9148,1.6396025206010665,0.6761271249076127,0.2695491500369549,태평동,오피스텔,40.0,1725.6476683222959,1746.189106369879,32500.0,60.55,False,44.0,1680.6465825883315,1634.9008633929536,30000.0,60.19,False,50.0,126.03063696463062,6.294597916086039,1500.0,75.0,42.74,False,행정동명에서 숫자를 제거한 법정동명 추정 매핑
31021550,수정구,태평2동,태평동,20250630,2026-03,7535,13568,12549,3425,9124,1.8006635700066358,0.6724646226415094,0.2524321933962264,태평동,단독_다가구,190.0,1320.5447522870274,1427.404829904687,49000.0,120.59,False,911.0,898.1525086035138,883.9549658609114,10000.0,38.54,False,2072.0,71.4304235090752,4.407733333333333,500.0,45.0,37.0,False,행정동명에서 숫자를 제거한 법정동명 추정 매핑
31021550,수정구,태평2동,태평동,20250630,2026-03,7535,13568,12549,3425,9124,1.8006635700066358,0.6724646226415094,0.2524321933962264,태평동,아파트,107.0,3214.9122550453353,3199.9305504096674,68500.0,59.9729,False,118.0,1981.2435593092787,1990.6575874696694,44350.0,59.9729,False,122.0,212.006746660339,9.285208850352685,1000.0,65.0,18.16,False,행정동명에서 숫자를 제거한 법정동명 추정 매핑
31021550,수정구,태평2동,태평동,20250630,2026-03,7535,13568,12549,3425,9124,1.8006635700066358,0.6724646226415094,0.2524321933962264,태평동,연립_다세대,142.0,1761.9182055599044,1815.521461860932,27900.0,49.81,False,158.0,1201.7822950307796,1230.8631554460883,20000.0,53.385000000000005,False,118.0,144.86415425065732,4.469022788721515,2000.0,55.0,41.019999999999996,False,행정동명에서 숫자를 제거한 법정동명 추정 매핑
31021550,수정구,태평2동,태평동,20250630,2026-03,7535,13568,12549,3425,9124,1.8006635700066358,0.6724646226415094,0.2524321933962264,태평동,오피스텔,40.0,1725.6476683222959,1746.189106369879,32500.0,60.55,False,44.0,1680.6465825883315,1634.9008633929536,30000.0,60.19,False,50.0,126.03063696463062,6.294597916086039,1500.0,75.0,42.74,False,행정동명에서 숫자를 제거한 법정동명 추정 매핑
31021560,수정구,태평3동,태평동,20250630,2026-03,6299,11497,10612,3071,7541,1.8252103508493411,0.6559102374532487,0.2671131599547708,태평동,단독_다가구,190.0,1320.5447522870274,1427.404829904687,49000.0,120.59,False,911.0,898.1525086035138,883.9549658609114,10000.0,38.54,False,2072.0,71.4304235090752,4.407733333333333,500.0,45.0,37.0,False,행정동명에서 숫자를 제거한 법정동명 추정 매핑
