지역명,세대수,총인구,생산가능인구_19_64세,지역코드,기준연도,아파트수,단독_다가구수,연립_다세대수,오피스텔수,기타수,총주택수,아파트비율,단독_다가구비율,연립_다세대비율,기타비율,오피스텔비율,세대수_대비_주택수
분당구,193490,469015,312533,,2025.0,130793.0,17398.0,11203.0,,2219.0,161613.0,0.8092975193827229,0.1076522309467679,0.06931991857090704,0.013730331099602136,,0.8352524678277947
수정구,117245,234336,156888,,2025.0,34730.0,51230.0,12267.0,,2861.0,101088.0,0.34356204495093384,0.5067861665083887,0.1213497150997151,0.02830207344096233,,0.8621945498741951
중원구,99590,202142,135080,,2025.0,29080.0,34765.0,20682.0,,3020.0,87547.0,0.33216443738791734,0.3971009857562224,0.23623882029081522,0.03449575656504506,,0.8790742042373733
