source_year,total_commute,avg_accessibility_score,avg_subway_share,avg_bus_share,avg_car_share,avg_axis_commute_share,avg_seoul_commute_share
2023,35084819.74,2.753353101070388e-16,0.2744525189078608,0.2954219940692302,0.37604803092501077,0.30606010001844625,0.29297427560625666
2024,42306031.46,-1.7763568394002505e-17,0.2552368383303719,0.22023018449643458,0.416423739468932,0.29607184688674554,0.25510178353259544
2025,55324331.11,9.769962616701378e-17,0.22948316318117407,0.18368467049043288,0.39880202121870867,0.26011467718547293,0.25302740733660684
