gu_name,dong_name,admi_cd,total_commute,subway_share,axis_commute_share,seoul_commute_share,accessibility_score,high_demand_low_access
중원구,상대원1동,41133570,3337887.18,0.1468016723081695,0.1411634452889714,0.1557405976469927,-1.2593900549006296,2.798546073523436
중원구,도촌동,41133670,4193912.26,0.1670115483054955,0.2513018830641711,0.2265567612045283,-0.7259196145988929,2.346270310233484
분당구,운중동,41135680,5273954.58,0.0759543647795313,0.416372139097271,0.2927592486959643,-0.2555305212023006,2.155627328406948
중원구,성남동,41133510,5754575.709999999,0.3263023504473104,0.2238814108464813,0.2282381211147617,-0.047361055982603,2.072955548080619
분당구,야탑3동,41135640,4591105.58,0.2149424431228175,0.2700694718947422,0.2273559108561139,-0.4162046360638819,2.019831468965415
중원구,하대원동,41133660,2914869.67,0.1954362096745135,0.175620442372651,0.1808601537929879,-0.9755912946622192,1.9957614373046055
분당구,서현1동,41135580,4958737.59,0.1653929463123698,0.4696724649426697,0.207010005850708,-0.0779356743070271,1.620941599196334
분당구,분당동,41135510,3783688.5,0.1301873872545269,0.3749709429470371,0.2449249920085464,-0.4336710616708571,1.5358322990399906
분당구,구미동,41135670,4620175.84,0.2798799103715498,0.2603258792324768,0.2184681514238528,-0.0120211953726145,1.2806892276569446
수정구,위례동,41131625,6791773.55,0.2770906429882368,0.2231166304784841,0.4986810933873673,0.7402231678431688,1.260227346920607
분당구,판교동,41135650,3554516.18,0.0748561144543728,0.3795769767943636,0.3077155070014815,-0.3501028803497508,1.2324923751700547
분당구,야탑1동,41135620,2932633.78,0.2144325398856996,0.2450674980573269,0.1975079073769527,-0.4836367701122394,1.0848335385859875
분당구,삼평동,41135655,4169653.88,0.1653902385777881,0.5184180126471268,0.2196096233296603,0.0992447801395214,0.7837594629306295
분당구,백현동,41135657,3981835.72,0.1789154651513347,0.4517967862962257,0.2587983793873959,0.1553304461507776,0.5584092108977898
분당구,서현2동,41135590,2716440.84,0.1399804017082882,0.3620525843504159,0.2738597764130119,-0.2621063139889738,0.5311541656341496
수정구,시흥동,41131650,632821.91,0.0648611550127902,0.3326177628295415,0.1816169145973879,-0.963791250320416,0.5131353913861485
중원구,은행2동,41133560,3188241.04,0.3132404913776531,0.1702904619470565,0.2602976225828812,-0.0814985184085616,0.494508543947986
분당구,이매1동,41135600,3842569.54,0.2330323135804589,0.328126624890508,0.2882397491141874,0.1657160974413533,0.4498086611707212
수정구,고등동,41131640,1853620.74,0.1322633129363885,0.2528403837437252,0.3210457571570826,-0.509023269145137,0.4418620010508585
중원구,상대원3동,41133590,634417.54,0.2112568010020656,0.1771735270083307,0.169548142756728,-0.8278059537910752,0.2592167367474418
중원구,금광2동,41133540,3826452.87,0.3550119800639279,0.191591456658274,0.277193520027033,0.2682962079371191,0.2471809080883006
중원구,상대원2동,41133580,975728.69,0.2441890685821691,0.1748064157031371,0.189179252733169,-0.6859954770760339,0.2117941887862715
분당구,정자1동,41135550,4743516.48,0.2550811481527729,0.4690967779866926,0.2423770527134141,0.6069789930610145,0.19914981107112
수정구,신촌동,41131630,460313.86,0.0629850902164883,0.1575029786319632,0.3826762039208892,-0.8476502231199309,0.1849941494754525
수정구,신흥2동,41131520,4721415.66,0.3500304969971655,0.2160829037961955,0.3669006566122644,0.6600649446528102,0.0854819104266764
분당구,수내3동,41135540,1869202.42,0.14523956693786,0.3701617824716516,0.2344406541310495,-0.2893140178699317,0.0399320194141119
