구,법정동명,건축유형,매매_거래건수,매매가_평당_중앙값,매매가_평당_평균,매매가_총액_중앙값,매매_전용면적_중앙값,매매_거래건수_주의
수정구,신흥동,단독_다가구,250,2193.200240878393,2360.5791620016553,75000.0,112.88,False
수정구,신흥동,아파트,752,5422.958122165911,5204.810506571615,115000.0,74.96,False
수정구,신흥동,연립_다세대,53,3048.046135018692,3401.0305383046853,50000.0,49.12,False
수정구,신흥동,오피스텔,61,1798.6751243487845,1740.6071426357719,36000.0,65.1836,False
수정구,심곡동,단독_다가구,4,1717.1909691968135,1723.9010979289176,123500.0,237.05,True
수정구,심곡동,연립_다세대,1,1918.019839041737,1918.019839041737,62000.0,106.86,True
수정구,양지동,단독_다가구,2,768.0416697894026,768.0416697894026,31000.0,133.43,True
수정구,양지동,아파트,14,2396.833085605405,2390.4485857166,53250.0,83.64,False
수정구,양지동,연립_다세대,55,1520.8975694444446,1528.0894690558216,24500.0,57.6,False
수정구,오야동,연립_다세대,1,1996.8876743851577,1996.8876743851577,84000.0,139.06,True
수정구,창곡동,단독_다가구,2,2414.6926931435128,2414.6926931435128,330000.0,452.92,True
수정구,창곡동,아파트,514,5802.221101517514,5989.2379180721155,149500.0,85.4621,False
수정구,창곡동,오피스텔,89,3084.2917726887194,3110.1082262071436,33500.0,35.433,False
수정구,태평동,단독_다가구,190,1320.5447522870274,1427.404829904687,49000.0,120.59,False
수정구,태평동,아파트,107,3214.9122550453353,3199.9305504096674,68500.0,59.9729,False
수정구,태평동,연립_다세대,142,1761.9182055599044,1815.521461860932,27900.0,49.81,False
수정구,태평동,오피스텔,40,1725.6476683222959,1746.189106369879,32500.0,60.55,False
중원구,갈현동,단독_다가구,1,781.1497191555299,781.1497191555299,122000.0,516.3,True
중원구,금광동,단독_다가구,16,1104.1143848522702,1113.3868788091283,70030.0,178.85500000000002,False
중원구,금광동,아파트,673,4301.1242702251875,4182.070586147312,83500.0,59.98,False
중원구,금광동,연립_다세대,133,1899.8850574712642,1987.439840650213,30000.0,49.66,False
중원구,금광동,오피스텔,10,1153.0834699518637,1334.624618076427,9100.0,28.84,False
중원구,도촌동,아파트,107,3093.7151265450266,3150.3437471338493,83800.0,84.95,False
중원구,도촌동,연립_다세대,16,3334.4647081158955,3344.9166853880997,85500.0,84.9,False
중원구,도촌동,오피스텔,13,1358.315356959425,1395.008439096143,32900.0,83.92,False
중원구,상대원동,단독_다가구,80,1418.4865823767427,1767.545433750989,51250.0,114.765,False
중원구,상대원동,아파트,147,2807.747298919568,2656.462985588537,43500.0,49.98,False
중원구,상대원동,연립_다세대,160,2509.211043559225,2364.34927232697,38150.0,55.74,False
중원구,상대원동,오피스텔,3,1464.4394232198601,1514.7153900258045,29800.0,67.27,True
중원구,성남동,단독_다가구,12,1278.8949987220485,1254.6260449743852,77650.0,214.12,False
중원구,성남동,아파트,93,2354.234761588776,2599.415334981594,54500.0,82.63,False
중원구,성남동,연립_다세대,124,1835.681421545296,1854.5181743605042,31950.0,59.485,False
중원구,성남동,오피스텔,207,2168.9036043012065,2024.9209184307115,16900.0,30.33,False
중원구,여수동,단독_다가구,1,1802.482651182552,1802.482651182552,269500.0,494.27,True
중원구,여수동,아파트,203,4651.944182760245,4668.78492065296,89500.0,51.93,False
중원구,여수동,오피스텔,30,2262.464973160736,2275.636028937921,18750.0,27.225,False
중원구,은행동,단독_다가구,9,863.9534331195058,936.4685035218135,44000.0,168.36,False
중원구,은행동,아파트,178,3384.8896986131126,3483.3973119936463,70000.0,66.56,False
중원구,은행동,연립_다세대,353,1325.494837935174,1346.184995485448,17500.0,43.77,False
중원구,은행동,오피스텔,3,2267.875741379418,2165.1446403738782,55000.0,79.5023,True
중원구,중앙동,단독_다가구,31,1857.1910112359549,2742.713451268703,78000.0,115.46,False
중원구,중앙동,아파트,304,4768.033714885913,4639.932680708407,101250.0,74.92,False
중원구,중앙동,연립_다세대,41,1974.8354373309287,2111.6932339305044,28200.0,48.18,False
중원구,하대원동,단독_다가구,7,1129.7895193663883,1177.12702585676,64500.0,185.22,False
중원구,하대원동,아파트,158,2829.708789269326,2868.473156768518,66500.0,84.03,False
중원구,하대원동,연립_다세대,59,1569.590942293645,1599.6513293819914,28000.0,57.87,False
