gu_name,dong_name,total_biz,it_ratio,건설업(41~42),"공공 행정, 국방 및 사회보장 행정(84)",광업(05~08),교육 서비스업(85),금융 및 보험업(64~66),"농업, 임업 및 어업(01~03)",도매 및 소매업(45~47),보건업 및 사회복지 서비스업(86~87),부동산업(68),"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",숙박 및 음식점업(55~56),"예술, 스포츠 및 여가관련 서비스업(90~91)",운수 및 창고업(49~52),"전기, 가스, 증기 및 공기조절 공급업(35)","전문, 과학 및 기술 서비스업(70~73)",정보통신업(58~63),제조업(10~34),"협회 및 단체, 수리 및 기타 개인 서비스업(94~96)"
중원구,여수동,714,0.088235294117647,48,5,0,21,7,0,195,21,57,20,2,96,21,14,1,63,63,24,56
수정구,오야동,19,0.0526315789473684,1,0,0,0,0,0,7,0,1,1,0,2,0,2,0,2,1,0,2
분당구,운중동,1929,0.053395541731467,65,3,0,194,23,1,490,70,193,35,2,255,71,73,1,137,103,45,168
수정구,위례동,774,0.045219638242894,32,2,0,177,11,0,74,98,34,14,0,88,13,104,4,30,35,23,35
분당구,율동,4,0.25,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
중원구,은행1동,227,0.0220264317180616,28,1,0,15,1,0,70,9,16,11,0,12,3,9,0,7,5,6,34
중원구,은행2동,829,0.0144752714113389,82,2,0,53,6,0,229,63,53,21,0,106,39,16,1,15,12,37,94
중원구,은행동,178,0.0449438202247191,14,0,0,3,0,0,74,3,6,7,0,10,3,20,0,7,8,8,15
분당구,이매1동,1224,0.0465686274509803,59,4,0,149,14,0,352,48,101,25,0,87,38,65,3,84,57,32,106
분당구,이매2동,629,0.0302066772655007,23,1,0,102,8,0,155,28,59,12,0,50,29,22,0,33,19,13,75
분당구,이매동,138,0.1159420289855072,7,0,0,12,0,0,54,2,9,6,0,2,1,3,0,12,16,5,9
분당구,정자1동,3768,0.0647558386411889,88,2,0,445,84,2,932,152,301,80,1,634,114,37,3,315,244,55,279
분당구,정자2동,466,0.0493562231759656,21,1,0,54,0,0,139,21,40,5,0,21,18,34,4,28,23,7,50
분당구,정자3동,529,0.0472589792060491,15,1,0,58,0,0,133,26,53,11,2,52,15,32,1,39,25,10,56
분당구,정자동,1953,0.0517153097798259,67,1,0,198,10,0,473,61,113,39,1,363,96,47,3,110,101,78,192
중원구,중앙동,694,0.015850144092219,31,1,0,49,4,0,171,36,44,26,0,161,37,20,1,8,11,25,69
수정구,창곡동,1562,0.0384122919334186,64,0,0,137,17,1,429,71,113,42,0,169,65,101,0,116,60,42,135
수정구,태평1동,617,0.0162074554294975,37,3,0,24,7,0,112,38,36,24,4,77,9,107,0,29,10,32,68
수정구,태평2동,682,0.0117302052785923,61,2,0,30,10,0,106,57,24,15,1,76,18,129,0,17,8,53,75
수정구,태평3동,567,0.0070546737213403,41,1,0,26,3,0,118,40,21,8,0,61,13,103,2,15,4,51,60
수정구,태평4동,481,0.0145530145530145,37,2,0,27,2,0,91,21,15,16,0,40,8,126,0,10,7,29,50
수정구,태평동,542,0.047970479704797,65,0,0,8,2,1,167,11,22,23,0,58,12,42,0,18,26,32,55
수정구,태평동2동,4,0.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
분당구,판교동,1216,0.0592105263157894,45,2,0,139,20,0,346,48,91,12,1,156,36,23,4,83,72,28,110
중원구,하대원동,1194,0.0142378559463986,113,2,0,61,7,0,402,38,57,36,23,88,20,40,3,47,17,118,122
