source_year,gu_name,dong_name,admi_cd,total_commute,subway_share,bus_share,car_share,other_share,avg_stay_duration,short_stay_share,axis_commute_share,seoul_commute_share,accessibility_score,vulnerability_score,high_demand_low_access,bus,car,subway,walk,express_bus,rail,air,other,total_od_commute
2023,분당구,정자동,41135545,640156.4400000001,0.3106539239064751,0.1709023344356263,0.4133295761267355,0.1051141655311629,419.7697626848836,0.033841212313665,0.4190127847914549,0.2836460218257002,0.6329886040057204,-0.6329886040057204,-1.3575823414096486,109404.23,264595.59,198867.11,43340.21,0.0,5.74,0.0,23943.56,1046870.42
2023,분당구,정자1동,41135550,1261374.18,0.2795449959186575,0.146149225918038,0.4158413247368041,0.1584644534265002,419.7658888974563,0.0340175981721775,0.428749032257801,0.2863713914904789,0.5829480734106992,-0.5829480734106992,0.1925456017975608,184348.86,524531.51,352610.84,124738.76,27.15,6.55,0.0,75110.51,2081584.85
2023,분당구,금곡동,41135662,1087130.14,0.3051068016566995,0.1402120265012614,0.4569356250209382,0.0977455468211009,415.5558874487649,0.0349309053284089,0.3684181130424179,0.2896366189860931,0.5002331431709175,-0.5002331431709175,-0.0567622893861222,152428.72,496748.49,331690.8,55747.41,0.0,10.19,0.0,50504.53,1717031.9200000002
2023,분당구,구미1동,41135665,581228.09,0.3673059400828339,0.2044860220021369,0.370107181158433,0.0581008567565961,422.51364520252287,0.033681045938437,0.3286048470350363,0.26455409123505,0.4616711897264456,-0.4616711897264456,-1.1670875723949048,118853.02,215116.69,213488.53,26391.99,0.0,0.0,0.0,7377.86,994561.41
2023,분당구,수내1동,41135520,655814.3799999999,0.2247730981440206,0.2094675478143678,0.4578738117941238,0.1078855422474878,421.5770829849752,0.0328955275424122,0.4443313394148166,0.276270722267627,0.3189811225153366,-0.3189811225153366,-0.7189341426651793,137371.83,300280.23,147409.43,48681.44,0.0,0.0,0.0,22071.45,1130276.88
2023,분당구,정자2동,41135560,588804.2,0.2243606957966672,0.2029047686820168,0.5031374776198948,0.0695970579014212,422.5939594180884,0.0287557221908403,0.3982947125977261,0.2984570505628707,0.2363084941841617,-0.2363084941841617,-0.7173020037765967,119471.18,296249.46,132104.52,23380.53,0.0,0.0,0.0,17598.51,884580.51
2023,분당구,이매2동,41135610,268270.9,0.1925468621456893,0.2134730975294003,0.5576739035057474,0.036306136819163,416.1603517191019,0.0295063311003914,0.3853132940481695,0.3478101777094275,0.1953731332110216,-0.1953731332110216,-1.3891519551383642,57268.62,149607.68,51654.72,6797.97,0.0,0.0,0.0,2941.91,444832.9
2023,분당구,이매1동,41135600,1057307.2,0.256609772448348,0.2466748453051298,0.4302448332897005,0.0664705489568216,419.3114015491429,0.0319900592751094,0.3384404160823252,0.3215714310132836,0.1753860354851326,-0.1753860354851326,0.4962018589992036,260811.09,454900.96,271315.36,43871.07,0.0,0.0,0.0,26408.72,1484819.62
2023,분당구,백현동,41135657,1070301.59,0.2019153031436681,0.2370157648742724,0.4800103305461781,0.0810586014358812,409.8414561824578,0.036033740732834,0.4010884059973371,0.2950796058098613,0.1086127263486076,-0.1086127263486076,0.6546335951281432,253678.35,513755.82,216110.27,54488.74,0.0,11.13,0.0,32257.28,1713415.77
2023,분당구,정자3동,41135570,628410.28,0.2240997235118432,0.1887144494198917,0.4899818793543606,0.0972039477139043,413.8839813377973,0.0362430735537935,0.3595607470657503,0.2824708598447423,0.0818495150570826,-0.0818495150570826,-0.328470295304271,118590.1,307909.65,140826.57,44022.14,9.0,0.0,0.0,17052.82,1045263.82
