구,법정동명,건축유형,전세_거래건수,전세보증금_평당_중앙값,전세보증금_평당_평균,전세보증금_총액_중앙값,전세_전용면적_중앙값,전세_거래건수_주의
수정구,산성동,연립_다세대,110,1033.1140354523836,1052.6362869994573,16000.0,53.955,False
수정구,상적동,단독_다가구,12,1094.211785948925,1457.0346630866645,40000.0,91.34,False
수정구,상적동,연립_다세대,10,1357.1529319209003,1516.9639446498795,41200.0,99.61949999999999,False
수정구,수진동,단독_다가구,476,940.0215921530578,954.9863336501749,12000.0,39.754999999999995,False
수정구,수진동,아파트,82,1722.4317475867624,1741.4456470432037,40000.0,84.63470000000001,False
수정구,수진동,연립_다세대,54,1132.463390305868,1179.1337286998141,20000.0,59.555,False
수정구,수진동,오피스텔,3,1313.6172854836707,1291.3826752927412,27000.0,63.77,True
수정구,시흥동,단독_다가구,14,1096.909432541399,1240.12136774512,30000.0,81.82,False
수정구,시흥동,아파트,1,1556.1936785474109,1556.1936785474109,21000.0,44.61,True
수정구,시흥동,연립_다세대,6,1485.038795736427,1405.1448865856767,24075.0,61.94,False
수정구,시흥동,오피스텔,19,3347.6455696202534,3263.959654688343,28000.0,27.41,False
수정구,신촌동,단독_다가구,12,1096.7090762583068,1151.6466878464314,24500.0,55.644999999999996,False
수정구,신흥동,단독_다가구,346,812.5136008901281,829.7942338289517,10000.0,38.25,False
수정구,신흥동,아파트,1330,2535.291763921307,2518.7150798987955,53000.0,74.92,False
수정구,신흥동,연립_다세대,82,1079.0243709386516,1185.6462267226007,17250.0,55.175,False
수정구,신흥동,오피스텔,111,1754.903782349038,1727.216322680132,33000.0,67.05,False
수정구,심곡동,단독_다가구,20,1316.3498676854206,1345.6316216713801,31000.0,79.61500000000001,False
수정구,심곡동,연립_다세대,2,1378.5208502739733,1378.5208502739733,39000.0,91.215,True
수정구,양지동,단독_다가구,37,976.170087110586,929.5071481357968,15000.0,50.82,False
수정구,양지동,아파트,18,1634.1846943339376,1505.3990129016524,37750.0,83.675,False
수정구,양지동,연립_다세대,54,1067.5825141297037,1124.3316213645235,19225.0,51.0,False
수정구,오야동,단독_다가구,19,1225.9920529801325,1293.034149570977,27000.0,70.0,False
수정구,오야동,연립_다세대,1,1069.7612541349058,1069.7612541349058,45000.0,139.06,True
수정구,창곡동,단독_다가구,208,1896.173147346939,1898.4335709566294,30000.0,55.0,False
수정구,창곡동,아파트,1288,2862.4290767486405,2812.2839049598792,73000.0,85.4621,False
수정구,창곡동,오피스텔,218,2632.824397824398,2628.0510356213053,33800.0,44.11,False
수정구,태평동,단독_다가구,911,898.1525086035138,883.9549658609114,10000.0,38.54,False
수정구,태평동,아파트,118,1981.2435593092787,1990.6575874696694,44350.0,59.9729,False
수정구,태평동,연립_다세대,158,1201.7822950307796,1230.8631554460883,20000.0,53.385000000000005,False
수정구,태평동,오피스텔,44,1680.6465825883315,1634.9008633929536,30000.0,60.19,False
중원구,갈현동,단독_다가구,5,944.5142857142857,936.3592810906799,18000.0,60.0,False
중원구,갈현동,연립_다세대,1,762.7806953584318,762.7806953584318,25000.0,108.347,True
중원구,금광동,단독_다가구,138,857.9141788256151,857.3476354520106,13000.0,49.725,False
중원구,금광동,아파트,634,2426.0729048723615,2331.603847176596,48000.0,59.95,False
중원구,금광동,연립_다세대,136,1098.276789214734,1122.9100889103363,15000.0,48.87,False
중원구,금광동,오피스텔,7,1863.9977445728784,1814.0200135627495,25000.0,35.71,False
중원구,도촌동,단독_다가구,48,1201.1073333333334,1197.4274572790055,24000.0,62.685,False
중원구,도촌동,아파트,143,2023.5620953502062,2024.0038149543232,53000.0,84.95,False
중원구,도촌동,연립_다세대,14,2594.9905702934657,2613.5267402278905,66550.0,84.755,False
중원구,도촌동,오피스텔,6,1310.0456979650126,1287.685003382739,21000.0,56.36,False
중원구,상대원동,단독_다가구,371,797.1432624113476,764.7813635254976,10000.0,40.0,False
중원구,상대원동,아파트,224,1595.686774709884,1596.395363695168,24150.0,49.98,False
중원구,상대원동,연립_다세대,329,1135.3634802518602,1211.0436657824002,20000.0,55.62,False
중원구,상대원동,오피스텔,1,1279.6645161290323,1279.6645161290323,24000.0,62.0,True
중원구,성남동,단독_다가구,167,1050.1097359735975,1084.3121688270119,16000.0,50.48,False
중원구,성남동,아파트,81,1635.5225726654298,1687.334572146222,36000.0,80.37,False
중원구,성남동,연립_다세대,100,1302.7457651735344,1371.3926713395645,22350.0,53.695,False
중원구,성남동,오피스텔,231,2078.7109451758697,2044.5813514523395,24000.0,39.98,False
중원구,여수동,단독_다가구,76,1598.2315076027069,1574.2196150662814,28000.0,59.22,False
중원구,여수동,아파트,207,2859.2174629324545,2793.200954311202,55600.0,59.94,False
중원구,여수동,오피스텔,70,2397.8057641145397,2388.097048154573,18600.0,25.17,False
중원구,은행동,단독_다가구,73,797.1529266281946,776.9818560202409,11700.0,45.11,False
중원구,은행동,아파트,168,1369.1160345031315,1345.3630253181282,33600.0,84.63,False
중원구,은행동,연립_다세대,754,963.3574011999236,934.6605173027222,12570.0,42.98,False
중원구,은행동,오피스텔,1,1183.9652084932206,1183.9652084932206,28000.0,78.18,True
중원구,중앙동,단독_다가구,44,912.4835048800238,840.9502694123267,13000.0,46.650000000000006,False
중원구,중앙동,아파트,266,2567.158489234028,2511.0302312919707,53100.0,74.92,False
중원구,중앙동,연립_다세대,57,920.8356545961004,913.4760576339041,13000.0,48.18,False
중원구,하대원동,단독_다가구,68,803.849371766445,839.5682520281971,12000.0,51.595,False
중원구,하대원동,아파트,191,1905.9206965525357,1884.0700076921219,40000.0,64.61,False
중원구,하대원동,연립_다세대,44,1143.717132576806,1175.0622073952093,20250.0,59.655,False
중원구,하대원동,오피스텔,9,2105.0893950526574,2108.3279941219694,26000.0,40.83,False
