"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-13 ~ 2026-05-12"
"실거래구분 : 연립다세대(전월세)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 분당구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","건물명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"28","경기도 성남시 분당구 분당동","94","0094","0000","프라임하우스","전세","164.8100","202604","22","64,000","0","3","1997","장안로 61","202607~202807","신규","-","","","연립다세대"
"29","경기도 성남시 분당구 야탑동","218","0218","0000","매화마을현대","전세","59.9400","202604","21","34,650","0","2","1994","벌말로50번길 27","202605~202608","갱신","-","33,000","0","연립다세대"
"30","경기도 성남시 분당구 서현동","208-3","0208","0003","서현로얄파크빌(203동)","전세","84.4200","202604","21","36,150","0","2","2014","안골로11번길 17-8","202604~202804","갱신","사용","34,650","0","연립다세대"
"31","경기도 성남시 분당구 구미동","13","0013","0000","까치마을건영빌라6단지","월세","59.9300","202604","21","2,000","180","1","1995","미금일로 122","202604~202704","신규","-","","","연립다세대"
"32","경기도 성남시 분당구 운중동","875","0875","0000","산운마을1단지(월든힐스)","전세","165.0300","202604","21","187,000","0","1","2010","산운로 7","202607~202807","신규","-","","","연립다세대"
"33","경기도 성남시 분당구 서현동","322","0322","0000","정도","월세","53.8200","202604","21","35,000","20","4","1995","불정로406번길 7","202606~202806","신규","-","","","연립다세대"
"34","경기도 성남시 분당구 야탑동","218","0218","0000","매화마을벽산","전세","59.9400","202604","18","42,000","0","4","1994","벌말로50번길 27","202606~202806","신규","-","","","연립다세대"
"35","경기도 성남시 분당구 운중동","987","0987","0000","산운마을7단지(휴먼시아연립)","전세","208.0400","202604","18","220,000","0","5","2010","산운로 135","202605~202805","신규","-","","","연립다세대"
"36","경기도 성남시 분당구 서현동","322","0322","0000","정도","전세","59.8600","202604","18","42,000","0","4","1995","불정로406번길 7","202606~202806","신규","-","","","연립다세대"
"37","경기도 성남시 분당구 궁내동","340-6","0340","0006","블리시움Ⅰ","전세","57.6700","202604","16","35,000","0","3","2023","궁내로40번길 19","202605~202805","신규","-","","","연립다세대"
"38","경기도 성남시 분당구 야탑동","158","0158","0000","대진빌라","전세","59.8600","202604","16","32,000","0","3","1994","판교로 654","202605~202805","갱신","사용","32,000","0","연립다세대"
"39","경기도 성남시 분당구 야탑동","158","0158","0000","대진빌라","전세","53.8200","202604","16","35,000","0","3","1994","판교로 654","202604~202804","신규","-","","","연립다세대"
"40","경기도 성남시 분당구 궁내동","345-6","0345","0006","동양파크빌(102동)","전세","102.7500","202604","16","27,500","0","-1","2011","궁내로7번길 4","202607~202807","신규","-","","","연립다세대"
"41","경기도 성남시 분당구 궁내동","345-6","0345","0006","동양파크빌(102동)","전세","72.9300","202604","16","42,000","0","1","2011","궁내로7번길 4","202604~202804","갱신","사용","40,000","0","연립다세대"
"42","경기도 성남시 분당구 궁내동","345-17","0345","0017","동양파크빌(103동)","월세","76.8800","202604","15","36,000","9","3","2011","궁내로7번길 6","202604~202704","신규","-","","","연립다세대"
"43","경기도 성남시 분당구 대장동","596","0596","0000","판교TH212","월세","128.8329","202604","15","70,000","200","2","2025","판교대장로7길 25","202604~202801","신규","-","","","연립다세대"
"44","경기도 성남시 분당구 금곡동","70-1","0070","0001","중앙하이츠빌리지(304동)","전세","192.1630","202604","14","56,000","0","3","2001","쇳골북로32번길 6","-","-","-","","","연립다세대"
"45","경기도 성남시 분당구 야탑동","217","0217","0000","매화마을청구빌라","전세","84.9300","202604","14","49,300","0","4","1995","벌말로50번길 9","202605~202805","갱신","-","47,000","0","연립다세대"
"46","경기도 성남시 분당구 야탑동","405-12","0405","0012","조창빌라","전세","50.1850","202604","14","29,000","0","4","2003","판교로592번길 9-6","202606~202806","신규","-","","","연립다세대"
"47","경기도 성남시 분당구 서현동","206-6","0206","0006","해뜨는집1","전세","75.5800","202604","14","33,000","0","4","2008","안골로 17-7","202606~202806","갱신","-","36,000","0","연립다세대"
"48","경기도 성남시 분당구 판교동","631","0631","0000","판교원마을4단지(푸르지오연립)","전세","153.8100","202604","14","135,000","0","1","2009","판교원로 186","202604~202804","신규","-","","","연립다세대"
"49","경기도 성남시 분당구 운중동","344-1","0344","0001","(344-1)(A,B동)","월세","35.5908","202604","14","24,000","13","1","2018","하오개로363번길 7","202606~202806","갱신","-","24,000","8","연립다세대"
