"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-13 ~ 2026-05-12"
"실거래구분 : 아파트(전월세)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 분당구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"30","경기도 성남시 분당구 야탑동","334","0334","0000","장미마을(현대)","월세","41.7600","202605","06","2,000","120","11","1993","장미로 101","202605~202707","갱신","-","2,000","90","아파트"
"31","경기도 성남시 분당구 이매동","100","0100","0000","이매촌(삼성)","월세","59.5350","202605","06","39,000","45","1","1994","양현로 192","202607~202807","갱신","-","39,000","20","아파트"
"32","경기도 성남시 분당구 금곡동","180","0180","0000","청솔마을(유천)","전세","40.5000","202605","06","30,000","0","1","1995","정자일로 46","202607~202807","신규","-","","","아파트"
"33","경기도 성남시 분당구 구미동","201","0201","0000","무지개(3단지)(건영)","전세","53.8300","202605","06","45,000","0","8","1996","미금로 63","202606~202806","신규","-","","","아파트"
"34","경기도 성남시 분당구 운중동","916","0916","0000","산운마을14단지(경남아너스빌)","전세","115.4400","202605","05","88,000","0","9","2009","판교원로82번길 60","202605~202805","신규","-","","","아파트"
"35","경기도 성남시 분당구 금곡동","133","0133","0000","청솔마을(주공9단지)","월세","42.8400","202605","05","3,000","85","9","1996","미금로 216","202606~202806","갱신","사용","3,000","81","아파트"
"36","경기도 성남시 분당구 금곡동","177","0177","0000","청솔마을(영남)","전세","84.9600","202605","05","53,800","0","17","1995","성남대로171번길 8","202606~202806","갱신","-","51,300","0","아파트"
"37","경기도 성남시 분당구 운중동","922","0922","0000","산운마을11단지(판교포레라움)","전세","59.8400","202605","05","65,000","0","8","2009","판교원로 68","202607~202807","신규","-","","","아파트"
"38","경기도 성남시 분당구 백현동","555","0555","0000","백현마을6단지(주공)","월세","84.7000","202605","05","90,000","40","5","2009","판교역로 100","202608~202808","신규","-","","","아파트"
"39","경기도 성남시 분당구 야탑동","156","0156","0000","목련마을(영남)","전세","53.6000","202605","05","31,500","0","4","1995","판교로 669","202607~202807","갱신","사용","30,000","0","아파트"
"40","경기도 성남시 분당구 야탑동","156","0156","0000","목련마을(영남)","월세","84.9300","202605","05","40,000","20","2","1995","판교로 669","202605~202705","갱신","사용","40,000","20","아파트"
"41","경기도 성남시 분당구 서현동","292","0292","0000","효자촌(임광)","전세","59.7300","202605","05","50,000","0","3","1992","불정로 397","202608~202808","갱신","-","44,000","0","아파트"
"42","경기도 성남시 분당구 야탑동","330","0330","0000","장미마을(코오롱)1","전세","84.6000","202605","05","63,000","0","4","1993","장미로 55","202605~202805","갱신","사용","60,000","0","아파트"
"43","경기도 성남시 분당구 정자동","110","0110","0000","한솔마을(1단지)(청구)","전세","84.9650","202605","05","63,700","0","1","1994","불정로 219","202607~202807","갱신","사용","62,000","0","아파트"
"44","경기도 성남시 분당구 정자동","121","0121","0000","상록마을(우성)1","전세","69.1200","202605","05","90,000","0","5","1994","내정로 55","202608~202808","신규","-","","","아파트"
"45","경기도 성남시 분당구 수내동","75","0075","0000","푸른마을(쌍용)","전세","131.4000","202605","05","96,000","0","11","1992","백현로 227","202607~202807","갱신","-","89,000","0","아파트"
