"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-13 ~ 2026-05-12"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 수정구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","매수","매도","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"33","경기도 성남시 수정구 태평동","1***","다가구","8m미만","110.44","64.10","202604","10","42,000","개인","개인","1990","남문로107번길","-","중개거래","경기 성남시 수정구"
"34","경기도 성남시 수정구 태평동","1***","다가구","8m미만","111.17","64.50","202604","09","39,500","개인","개인","1988","남문로131번길","-","중개거래","경기 성남시 수정구, 서울 강남구"
"35","경기도 성남시 수정구 수진동","2***","다가구","8m미만","67.48","65.50","202604","09","90,000","개인","개인","1984","탄리로15번길","-","중개거래","경기 성남시 수정구"
"36","경기도 성남시 수정구 신흥동","4***","단독","8m미만","112.86","66.40","202604","09","80,000","개인","개인","1993","수정남로132번길","-","중개거래","경기 성남시 수정구, 경기 성남시 중원구"
"37","경기도 성남시 수정구 태평동","5**","다가구","8m미만","130.57","92.20","202604","08","41,000","개인","개인","1987","태평로78번길","-","중개거래","경기 성남시 수정구"
"38","경기도 성남시 수정구 태평동","4**","단독","8m미만","127.00","68.80","202604","07","43,000","개인","개인","1989","태평로90번길","-","중개거래","경기 성남시 분당구, 경기 성남시 수정구, 경기 성남시 중원구"
"39","경기도 성남시 수정구 수진동","4**","다가구","8m미만","106.84","69.80","202604","06","105,000","개인","개인","1984","수정남로62번길","-","중개거래","경기 성남시 수정구, 경기 성남시 중원구"
"40","경기도 성남시 수정구 수진동","1***","단독","8m미만","28.08","49.30","202604","06","83,000","개인","개인","2007","탄리로17번길","-","중개거래","경기 성남시 수정구"
"41","경기도 성남시 수정구 태평동","7**","다가구","8m미만","144.93","77.70","202604","04","51,000","개인","개인","1989","태평로58번길","-","중개거래","경기 성남시 수정구"
"42","경기도 성남시 수정구 태평동","2***","다가구","8m미만","116.46","63.50","202604","04","36,000","개인","개인","1985","남문로123번길","-","중개거래","경기 성남시 수정구"
"43","경기도 성남시 수정구 태평동","5***","다가구","8m미만","136.30","64.50","202604","04","60,000","개인","개인","1992","남문로24번길","-","중개거래","경기 성남시 수정구"
"44","경기도 성남시 수정구 수진동","3***","단독","8m미만","454.36","125.00","202604","04","130,000","개인","개인","1988","수정로74번길","-","중개거래","경기 성남시 수정구"
"45","경기도 성남시 수정구 단대동","*","다가구","8m미만","176.73","102.00","202604","03","35,500","개인","개인","1991","논골로94번길","-","중개거래","경기 성남시 수정구"
"46","경기도 성남시 수정구 신흥동","2***","다가구","8m미만","96.84","62.10","202604","03","70,000","개인","개인","1992","산성대로269번길","-","중개거래","경기 성남시 수정구"
"47","경기도 성남시 수정구 태평동","4***","다가구","8m미만","69.02","57.50","202604","03","50,000","개인","개인","1983","태평로22번길","-","직거래","-"
"48","경기도 성남시 수정구 태평동","2***","다가구","8m미만","104.96","68.10","202604","01","27,600","개인","개인","1987","탄리로132번길","-","직거래","-"
"49","경기도 성남시 수정구 수진동","1***","다가구","8m미만","125.36","68.10","202604","01","95,000","개인","개인","1991","탄리로31번길","-","중개거래","경기 성남시 수정구"
"50","경기도 성남시 수정구 수진동","1***","단독","8m미만","72.00","61.80","202604","01","69,500","개인","개인","1990","수정로120번길","-","직거래","-"
"51","경기도 성남시 수정구 수진동","9**","다가구","8m미만","111.32","66.80","202603","31","93,000","개인","개인","1990","수정남로58번길","-","중개거래","경기 성남시 수정구"
"52","경기도 성남시 수정구 태평동","1***","다가구","8m미만","127.26","64.10","202603","31","46,200","개인","개인","1992","남문로107번길","-","중개거래","경기 성남시 수정구"
"53","경기도 성남시 수정구 태평동","6**","다가구","25m미만","238.14","74.40","202603","31","54,000","개인","개인","1996","탄리로","-","중개거래","경기 성남시 수정구"
"54","경기도 성남시 수정구 수진동","7**","다가구","8m미만","118.08","63.10","202603","31","90,500","개인","개인","1989","수정로136번길","-","중개거래","경기 성남시 수정구"
"55","경기도 성남시 수정구 수진동","5**","다가구","8m미만","142.32","66.10","202603","31","97,000","개인","개인","1996","수정남로68번길","-","중개거래","경기 성남시 수정구"
"56","경기도 성남시 수정구 수진동","2***","다가구","8m미만","124.35","61.50","202603","29","94,800","개인","개인","1987","탄리로13번길","-","중개거래","경기 성남시 수정구"
"57","경기도 성남시 수정구 수진동","4***","단독","8m미만","22.48","63.80","202603","29","29,500","개인","개인","1972","제일로109번길","-","직거래","-"
"58","경기도 성남시 수정구 수진동","4***","단독","8m미만","164.22","68.10","202603","29","76,000","개인","개인","1973","제일로123번길","-","중개거래","경기 성남시 수정구"
"59","경기도 성남시 수정구 태평동","2***","다가구","8m미만","129.49","66.10","202603","28","39,500","개인","개인","1991","남문로129번길","-","중개거래","경기 성남시 수정구"
"60","경기도 성남시 수정구 신흥동","6***","다가구","8m미만","111.94","61.50","202603","28","80,000","개인","개인","1992","탄리로52번길","-","중개거래","경기 성남시 수정구"
"61","경기도 성남시 수정구 수진동","4***","다가구","8m미만","124.38","65.50","202603","28","75,000","개인","개인","1988","성남대로1180번길","-","중개거래","경기 성남시 수정구"
"62","경기도 성남시 수정구 수진동","1***","다가구","8m미만","122.40","64.10","202603","28","96,000","개인","개인","1990","산성대로165번길","-","중개거래","경기 성남시 수정구, 경기 성남시 중원구"
"63","경기도 성남시 수정구 수진동","3**","다가구","8m미만","100.47","62.50","202603","27","90,000","개인","개인","1991","수정남로56번길","-","중개거래","경기 성남시 수정구"
"64","경기도 성남시 수정구 수진동","3***","다가구","8m미만","141.32","67.80","202603","27","27,500","개인","개인","1991","수정로74번길","-","중개거래","경기 성남시 수정구"
"65","경기도 성남시 수정구 신흥동","4***","다가구","8m미만","96.32","62.50","202603","27","80,000","개인","개인","2003","산성대로225번길","-","중개거래","경기 성남시 수정구"
"66","경기도 성남시 수정구 수진동","3**","다가구","8m미만","54.22","65.10","202603","27","88,200","개인","개인","1972","수정남로56번길","-","중개거래","경기 성남시 수정구"
"67","경기도 성남시 수정구 신흥동","4***","다가구","8m미만","107.98","64.10","202603","26","81,500","개인","개인","1994","시민로145번길","-","중개거래","경기 성남시 수정구"
"68","경기도 성남시 수정구 신흥동","6***","다가구","8m미만","149.28","62.10","202603","26","80,000","개인","개인","1990","산성대로215번길","-","중개거래","경기 성남시 수정구"
"69","경기도 성남시 수정구 신흥동","6***","다가구","8m미만","73.60","66.80","202603","26","80,000","개인","개인","1984","탄리로52번길","-","중개거래","경기 성남시 수정구"
"70","경기도 성남시 수정구 태평동","8*","다가구","8m미만","131.76","64.80","202603","25","37,000","개인","개인","1994","시민로","-","중개거래","경기 성남시 수정구"
"71","경기도 성남시 수정구 수진동","7**","단독","8m미만","102.00","60.50","202603","24","85,000","개인","개인","1984","탄리로45번길","-","중개거래","경기 성남시 수정구, 경기 성남시 중원구"
"72","경기도 성남시 수정구 수진동","1***","다가구","8m미만","84.89","56.20","202603","23","83,600","개인","개인","1984","수정남로50번길","-","중개거래","경기 성남시 수정구, 경기 성남시 중원구"
"73","경기도 성남시 수정구 태평동","4***","다가구","8m미만","104.58","63.80","202603","23","64,700","개인","개인","1986","남문로63번길","-","중개거래","경기 성남시 수정구"
"74","경기도 성남시 수정구 태평동","6***","다가구","8m미만","173.26","99.80","202603","23","93,000","개인","개인","1991","성남대로1237번길","-","중개거래","경기 성남시 수정구"
"75","경기도 성남시 수정구 수진동","3**","단독","8m미만","101.96","60.50","202603","23","89,000","개인","개인","1993","수정남로58번길","-","중개거래","경기 성남시 수정구"
"76","경기도 성남시 수정구 신흥동","6***","다가구","8m미만","108.25","69.80","202603","22","89,000","개인","개인","1984","수정남로98번길","-","중개거래","경기 성남시 수정구"
"77","경기도 성남시 수정구 수진동","3***","다가구","8m미만","157.45","70.40","202603","22","45,000","개인","개인","1994","수정로88번길","-","직거래","-"
"78","경기도 성남시 수정구 태평동","2***","다가구","8m미만","120.96","69.80","202603","21","44,000","개인","개인","2000","남문로89번길","-","중개거래","경기 광명시, 경기 성남시 수정구"
"79","경기도 성남시 수정구 수진동","6**","다가구","8m미만","111.44","63.50","202603","21","91,500","개인","개인","1988","탄리로31번길","-","중개거래","경기 성남시 수정구"
"80","경기도 성남시 수정구 수진동","2***","다가구","8m미만","129.95","67.80","202603","21","96,000","개인","개인","1993","탄리로13번길","-","중개거래","경기 성남시 수정구"
"81","경기도 성남시 수정구 수진동","9**","단독","8m미만","103.30","59.20","202603","21","91,000","개인","개인","1985","수정남로62번길","-","중개거래","경기 성남시 수정구"
"82","경기도 성남시 수정구 신흥동","5***","다가구","8m미만","133.59","66.80","202603","20","85,000","개인","개인","1994","수정로180번길","-","중개거래","경기 성남시 수정구"
"83","경기도 성남시 수정구 신흥동","6***","다가구","8m미만","103.84","59.50","202603","20","79,000","개인","개인","1991","산성대로215번길","-","중개거래","경기 성남시 수정구"
"84","경기도 성남시 수정구 수진동","4**","단독","8m미만","150.00","64.50","202603","20","91,000","개인","개인","1979","수정남로64번길","-","중개거래","경기 성남시 수정구, 경기 성남시 중원구"
