"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-13 ~ 2026-05-12"
"실거래구분 : 단독다가구(전월세)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 수정구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","도로조건","계약면적(㎡)","전월세구분","계약년월","계약일","보증금(만원)","월세금(만원)","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"35","경기도 성남시 수정구 신흥동","3***","8m미만","77.16","월세","202605","04","8,000","38","1990","수정남로150번길","202605~203205","갱신","-","15,000","0","단독다가구"
"36","경기도 성남시 수정구 고등동","5**","25m미만","44.31","월세","202605","04","26,000","30","2020","고등로4길","202605~202805","신규","-","","","단독다가구"
"37","경기도 성남시 수정구 신흥동","3***","8m미만","37.94","전세","202605","04","11,000","0","1996","시민로150번길","202606~202805","신규","-","","","단독다가구"
"38","경기도 성남시 수정구 신흥동","5***","8m미만","39.00","전세","202605","04","8,500","0","1991","수정로170번길","-","-","-","","","단독다가구"
"39","경기도 성남시 수정구 태평동","4**","8m미만","41.04","전세","202605","04","8,000","0","1996","시민로255번길","202606~202806","신규","-","","","단독다가구"
"40","경기도 성남시 수정구 태평동","5***","8m미만","38.90","월세","202605","04","10,000","10","1991","남문로13번길","202606~202806","신규","-","","","단독다가구"
"41","경기도 성남시 수정구 태평동","5***","8m미만","15.00","월세","202605","04","200","35","1984","남문로13번길","202605~202804","신규","-","","","단독다가구"
"42","경기도 성남시 수정구 태평동","6***","8m미만","48.04","전세","202605","02","16,000","0","1988","성남대로1258번길","202605~202805","신규","-","","","단독다가구"
"43","경기도 성남시 수정구 태평동","5***","8m미만","20.00","월세","202605","02","500","40","1984","남문로13번길","202606~202806","신규","-","","","단독다가구"
"44","경기도 성남시 수정구 태평동","5***","8m미만","24.06","월세","202605","02","1,000","42","1995","성남대로1318번길","202608~202802","신규","-","","","단독다가구"
"45","경기도 성남시 수정구 태평동","4***","8m미만","38.60","월세","202605","02","1,000","65","1990","제일로224번길","202605~202805","갱신","-","1,000","45","단독다가구"
"46","경기도 성남시 수정구 태평동","3**","8m미만","37.01","월세","202605","02","10,500","5","1993","시민로257번길","202606~202806","신규","-","","","단독다가구"
"47","경기도 성남시 수정구 태평동","1***","8m미만","44.88","월세","202605","02","500","40","1994","시민로250번길","202605~202805","신규","-","","","단독다가구"
"48","경기도 성남시 수정구 복정동","6**","12m미만","47.00","월세","202605","02","11,000","31","2002","복정로72번길","202607~202807","신규","-","","","단독다가구"
"49","경기도 성남시 수정구 복정동","6**","12m미만","23.00","전세","202605","02","4,000","0","2005","복정로158번길","202605~202705","신규","-","","","단독다가구"
"50","경기도 성남시 수정구 태평동","5***","8m미만","39.24","월세","202605","01","6,000","45","1987","남문로18번길","202605~202805","신규","-","","","단독다가구"
"51","경기도 성남시 수정구 수진동","3***","8m미만","23.00","전세","202605","01","6,500","0","","성남대로1210번길","202605~202805","갱신","-","4,000","10","단독다가구"
"52","경기도 성남시 수정구 창곡동","5**","12m미만","69.00","전세","202605","01","45,000","0","2016","위례한빛로","202605~202805","신규","-","","","단독다가구"
"53","경기도 성남시 수정구 태평동","4***","8m미만","37.14","전세","202605","01","4,300","0","2001","탄리로137번길","202605~202805","신규","-","","","단독다가구"
"54","경기도 성남시 수정구 태평동","6***","8m미만","30.00","전세","202605","01","10,000","0","1997","성남대로1250번길","202605~202805","갱신","-","5,500","0","단독다가구"
"55","경기도 성남시 수정구 수진동","2***","8m미만","18.00","월세","202605","01","300","25","1989","탄리로7번길","202605~202705","신규","-","","","단독다가구"
"56","경기도 성남시 수정구 수진동","3***","8m미만","35.64","월세","202605","01","1,500","55","1990","수정남로22번길","202605~202805","신규","-","","","단독다가구"
"57","경기도 성남시 수정구 신흥동","6***","8m미만","38.28","전세","202604","30","1,000","0","1990","탄리로52번길","202604~202804","신규","-","","","단독다가구"
"58","경기도 성남시 수정구 신흥동","6***","8m미만","37.25","전세","202604","30","20,000","0","1991","산성대로215번길","202604~202804","신규","-","","","단독다가구"
"59","경기도 성남시 수정구 신흥동","5***","8m미만","40.16","전세","202604","30","10,000","0","1991","수정로170번길","202604~202704","신규","-","","","단독다가구"
"60","경기도 성남시 수정구 신흥동","4***","8m미만","23.10","월세","202604","30","3,000","35","2007","시민로139번길","202605~202805","신규","-","","","단독다가구"
"61","경기도 성남시 수정구 신흥동","6***","8m미만","35.96","전세","202604","30","6,000","0","1991","탄리로30번길","202604~202804","갱신","-","6,000","0","단독다가구"
"62","경기도 성남시 수정구 태평동","6***","12m미만","56.75","월세","202604","30","4,000","70","1997","수정로57번길","202604~202804","신규","-","","","단독다가구"
"63","경기도 성남시 수정구 태평동","1***","8m미만","36.96","전세","202604","30","10,000","0","1980","남문로97번길","202605~202805","신규","-","","","단독다가구"
"64","경기도 성남시 수정구 태평동","5***","8m미만","26.00","월세","202604","30","1,000","35","1998","남문로18번길","202604~202804","신규","-","","","단독다가구"
"65","경기도 성남시 수정구 태평동","1***","8m미만","47.92","월세","202604","30","1,000","30","1989","태평로90번길","202605~202805","신규","-","","","단독다가구"
"66","경기도 성남시 수정구 수진동","3***","8m미만","49.85","월세","202604","30","12,000","30","1972","수정남로30번길","202606~202806","신규","-","","","단독다가구"
"67","경기도 성남시 수정구 수진동","6**","8m미만","39.16","전세","202604","30","17,000","0","1989","탄리로53번길","202604~202804","신규","-","","","단독다가구"
"68","경기도 성남시 수정구 수진동","6**","8m미만","45.30","전세","202604","30","3,000","0","","탄리로53번길","202604~202804","신규","-","","","단독다가구"
"69","경기도 성남시 수정구 복정동","6**","12m미만","42.00","월세","202604","30","4,000","60","2002","복정로32번길","202606~202806","신규","-","","","단독다가구"
"70","경기도 성남시 수정구 수진동","1***","8m미만","40.63","전세","202604","30","10,000","0","1990","제일로110번길","202604~202804","신규","-","","","단독다가구"
"71","경기도 성남시 수정구 수진동","3**","8m미만","18.36","전세","202604","30","15,000","0","1991","수정남로56번길","202604~202804","신규","-","","","단독다가구"
"72","경기도 성남시 수정구 수진동","9**","8m미만","76.88","전세","202604","30","20,000","0","1990","수정남로58번길","202604~202804","신규","-","","","단독다가구"
"73","경기도 성남시 수정구 수진동","3***","8m미만","45.34","월세","202604","30","2,000","50","","수정남로18번길","202604~202804","신규","-","","","단독다가구"
"74","경기도 성남시 수정구 신흥동","6***","8m미만","70.95","전세","202604","30","14,000","0","","탄리로52번길","202604~202804","신규","-","","","단독다가구"
"75","경기도 성남시 수정구 신흥동","6***","8m미만","133.13","전세","202604","30","15,000","0","1995","산성대로215번길","202604~202804","신규","-","","","단독다가구"
"76","경기도 성남시 수정구 신흥동","6***","8m미만","43.93","전세","202604","30","12,000","0","1998","탄리로38번길","202604~202606","신규","-","","","단독다가구"
"77","경기도 성남시 수정구 신흥동","4***","8m미만","37.10","전세","202604","30","13,000","0","1991","산성대로269번길","202604~202804","신규","-","","","단독다가구"
"78","경기도 성남시 수정구 신흥동","2***","8m미만","37.00","월세","202604","30","2,000","50","1974","공원로367번길","202606~202806","신규","-","","","단독다가구"
"79","경기도 성남시 수정구 신흥동","5***","8m미만","33.00","월세","202604","29","500","45","1988","수정로154번길","202604~202804","신규","-","","","단독다가구"
"80","경기도 성남시 수정구 수진동","4***","8m미만","40.56","월세","202604","29","12,000","23","1995","제일로109번길","202605~202805","신규","-","","","단독다가구"
"81","경기도 성남시 수정구 수진동","1***","8m미만","43.56","전세","202604","29","19,000","0","1993","산성대로173번길","202604~202704","신규","-","","","단독다가구"
"82","경기도 성남시 수정구 복정동","6**","25m미만","51.00","월세","202604","29","4,000","75","2007","성남대로1542번길","202604~202804","갱신","-","5,000","70","단독다가구"
"83","경기도 성남시 수정구 복정동","6**","12m미만","56.10","전세","202604","29","16,000","0","2003","복정로118번길","202604~202804","신규","-","","","단독다가구"
"84","경기도 성남시 수정구 복정동","6**","25m미만","30.00","월세","202604","29","500","58","2006","성남대로1542번길","202605~202804","신규","-","","","단독다가구"
"85","경기도 성남시 수정구 수진동","3***","8m미만","42.76","월세","202604","29","1,000","38","1993","제일로137번길","202604~202804","갱신","사용","1,000","38","단독다가구"
"86","경기도 성남시 수정구 수진동","2**","8m미만","35.10","월세","202604","29","8,000","10","1992","수정남로52번길","202604~202804","갱신","-","8,000","5","단독다가구"
"87","경기도 성남시 수정구 수진동","4***","8m미만","57.67","월세","202604","29","1,500","70","2002","성남대로1209번길","202605~202805","갱신","-","1,500","63","단독다가구"
"88","경기도 성남시 수정구 신흥동","6***","8m미만","33.69","전세","202604","29","7,000","0","1992","산성대로215번길","202605~202805","신규","-","","","단독다가구"
"89","경기도 성남시 수정구 태평동","2***","8m미만","38.36","전세","202604","29","12,000","0","1987","남문로97번길","202606~202806","신규","-","","","단독다가구"
"90","경기도 성남시 수정구 태평동","9**","8m미만","30.00","월세","202604","29","300","20","1990","탄리로132번길","202604~202804","신규","-","","","단독다가구"
"91","경기도 성남시 수정구 태평동","2***","8m미만","34.95","전세","202604","29","9,800","0","1986","시민로241번길","202606~202806","신규","-","","","단독다가구"
"92","경기도 성남시 수정구 태평동","1***","8m미만","34.44","월세","202604","29","500","35","1989","시민로241번길","202605~202805","신규","-","","","단독다가구"
"93","경기도 성남시 수정구 신흥동","4***","8m미만","32.02","전세","202604","29","8,500","0","2014","수정로170번길","202605~202805","신규","-","","","단독다가구"
"94","경기도 성남시 수정구 복정동","6**","25m미만","56.10","월세","202604","28","15,000","34","2004","복정로","202605~202805","갱신","-","15,000","30","단독다가구"
"95","경기도 성남시 수정구 복정동","6**","12m미만","45.00","전세","202604","28","14,000","0","2008","복정로134번길","202606~202806","신규","-","","","단독다가구"
"96","경기도 성남시 수정구 수진동","4***","8m미만","50.00","월세","202604","28","1,000","75","2002","수정로56번길","202605~202805","신규","-","","","단독다가구"
"97","경기도 성남시 수정구 태평동","3***","8m미만","33.21","전세","202604","28","13,000","0","1986","남문로63번길","202605~202805","신규","-","","","단독다가구"
"98","경기도 성남시 수정구 태평동","4***","8m미만","34.36","전세","202604","28","12,000","0","1984","제일로232번길","202606~202805","신규","-","","","단독다가구"
"99","경기도 성남시 수정구 태평동","3***","8m미만","44.63","월세","202604","28","13,000","40","1978","남문로74번길","202606~202806","신규","-","","","단독다가구"
"100","경기도 성남시 수정구 태평동","6***","8m미만","55.80","전세","202604","28","13,000","0","1996","성남대로1271번길","202607~202807","신규","-","","","단독다가구"
"101","경기도 성남시 수정구 태평동","5**","8m미만","41.75","전세","202604","28","14,500","0","1987","태평로78번길","202607~202807","신규","-","","","단독다가구"
"102","경기도 성남시 수정구 태평동","3***","8m미만","37.65","월세","202604","28","1,000","75","1997","제일로188번길","202605~202805","신규","-","","","단독다가구"
"103","경기도 성남시 수정구 단대동","9*","8m미만","44.00","월세","202604","28","2,000","60","2001","단대로3번길","202605~202805","신규","-","","","단독다가구"
"104","경기도 성남시 수정구 수진동","4***","8m미만","44.65","월세","202604","28","1,000","50","1994","산성대로97번길","202605~202805","갱신","-","1,000","40","단독다가구"
"105","경기도 성남시 수정구 신흥동","4***","8m미만","34.50","전세","202604","28","6,000","0","1990","산성대로225번길","202605~202805","갱신","-","6,000","0","단독다가구"
"106","경기도 성남시 수정구 수진동","2***","8m미만","41.42","전세","202604","28","10,000","0","1986","산성대로165번길","202605~202805","갱신","-","10,000","0","단독다가구"
"107","경기도 성남시 수정구 태평동","5**","8m미만","41.75","전세","202604","28","14,500","0","1987","태평로78번길","202607~202807","신규","-","","","단독다가구"
"108","경기도 성남시 수정구 복정동","6**","25m미만","23.00","전세","202604","27","7,000","0","2008","복정로","202604~202804","신규","-","","","단독다가구"
"109","경기도 성남시 수정구 태평동","3***","12m미만","40.00","전세","202604","27","8,500","0","1998","수정로153번길","202604~202804","갱신","-","7,500","0","단독다가구"
"110","경기도 성남시 수정구 태평동","4***","8m미만","33.57","월세","202604","27","500","60","1986","제일로232번길","202604~202802","신규","-","","","단독다가구"
"111","경기도 성남시 수정구 태평동","8**","8m미만","35.24","전세","202604","27","10,000","0","1984","탄리로132번길","202605~202804","갱신","-","9,000","0","단독다가구"
"112","경기도 성남시 수정구 태평동","5***","8m미만","35.01","전세","202604","27","12,000","0","1986","제일로187번길","202605~202805","신규","-","","","단독다가구"
"113","경기도 성남시 수정구 신촌동","2**","12m미만","153.07","월세","202604","27","6,000","200","2008","신촌남로","202604~202804","갱신","-","5,000","158","단독다가구"
"114","경기도 성남시 수정구 태평동","2***","8m미만","36.71","전세","202604","27","8,000","0","1987","탄리로132번길","202606~202806","신규","-","","","단독다가구"
"115","경기도 성남시 수정구 태평동","4***","8m미만","41.02","전세","202604","27","13,000","0","1990","남문로55번길","202605~202805","신규","-","","","단독다가구"
"116","경기도 성남시 수정구 태평동","3***","8m미만","37.86","월세","202604","27","2,000","55","1983","남문로102번길","202605~202805","신규","-","","","단독다가구"
"117","경기도 성남시 수정구 태평동","3***","8m미만","33.00","월세","202604","27","500","35","1988","남문로44번길","202606~202806","신규","-","","","단독다가구"
"118","경기도 성남시 수정구 태평동","6***","8m미만","17.55","월세","202604","27","300","33","1993","수정북로5번길","202605~202804","신규","-","","","단독다가구"
"119","경기도 성남시 수정구 태평동","5***","8m미만","42.00","월세","202604","27","1,000","75","1987","남문로18번길","202604~202804","신규","-","","","단독다가구"
"120","경기도 성남시 수정구 사송동","6**","8m미만","164.24","월세","202604","27","43,000","80","2018","탄천로339번길","202607~202807","신규","-","","","단독다가구"
"121","경기도 성남시 수정구 양지동","1**","8m미만","34.00","월세","202604","27","500","35","1991","산성대로581번길","202605~202805","신규","-","","","단독다가구"
"122","경기도 성남시 수정구 복정동","6**","12m미만","46.00","월세","202604","27","3,000","78","2003","복정로118번길","202604~202804","갱신","-","3,000","75","단독다가구"
"123","경기도 성남시 수정구 수진동","3***","8m미만","15.00","월세","202604","27","300","35","1991","수정남로20번길","202605~202805","신규","-","","","단독다가구"
"124","경기도 성남시 수정구 수진동","3***","8m미만","23.80","월세","202604","27","500","35","1992","수정남로20번길","202604~202804","신규","-","","","단독다가구"
"125","경기도 성남시 수정구 복정동","6**","12m미만","30.00","월세","202604","27","5,000","50","2010","성남대로1480번길","202605~202805","신규","-","","","단독다가구"
"126","경기도 성남시 수정구 단대동","1**","8m미만","26.50","전세","202604","27","7,000","0","2002","산성대로413번길","202605~202805","신규","-","","","단독다가구"
"127","경기도 성남시 수정구 수진동","4***","8m미만","25.00","전세","202604","27","3,700","0","1992","제일로109번길","202604~202806","갱신","-","3,500","0","단독다가구"
"128","경기도 성남시 수정구 복정동","6**","12m미만","17.00","월세","202604","27","1,000","50","2003","복정로72번길","202605~202804","신규","-","","","단독다가구"
"129","경기도 성남시 수정구 복정동","6**","12m미만","30.00","월세","202604","26","4,000","48","2006","성남대로1542번길","202606~202806","갱신","사용","4,000","45","단독다가구"
"130","경기도 성남시 수정구 태평동","3**","8m미만","40.46","월세","202604","26","1,000","40","1990","태평로82번길","202605~202805","신규","-","","","단독다가구"
"131","경기도 성남시 수정구 태평동","2***","8m미만","43.14","월세","202604","26","300","55","2006","남문로117번길","202604~202804","신규","-","","","단독다가구"
"132","경기도 성남시 수정구 태평동","2***","8m미만","41.08","월세","202604","25","1,000","40","1994","남문로117번길","202605~202805","신규","-","","","단독다가구"
"133","경기도 성남시 수정구 신흥동","6***","8m미만","35.32","월세","202604","25","500","40","2003","탄리로52번길","202605~202805","신규","-","","","단독다가구"
"134","경기도 성남시 수정구 신흥동","3***","8m미만","122.16","월세","202604","25","2,000","35","1987","수정로220번길","202604~202804","신규","-","","","단독다가구"
"135","경기도 성남시 수정구 태평동","3***","8m미만","50.48","월세","202604","25","1,000","60","1981","탄리로120번길","202604~202804","신규","-","","","단독다가구"
"136","경기도 성남시 수정구 수진동","2***","12m미만","25.00","월세","202604","25","6,000","20","1980","수정남로","202605~202805","갱신","사용","6,000","0","단독다가구"
"137","경기도 성남시 수정구 복정동","6**","12m미만","33.00","월세","202604","25","5,000","60","2002","복정로72번길","202605~202802","신규","-","","","단독다가구"
"138","경기도 성남시 수정구 복정동","6**","12m미만","48.00","월세","202604","25","7,000","55","2003","복정로96번길","202607~202807","신규","-","","","단독다가구"
"139","경기도 성남시 수정구 태평동","3***","8m미만","54.12","월세","202604","25","7,000","35","1997","탄리로85번길","202606~202806","신규","-","","","단독다가구"
"140","경기도 성남시 수정구 태평동","6***","8m미만","27.44","전세","202604","25","11,500","0","1974","성남대로1263번길","202604~202804","신규","-","","","단독다가구"
"141","경기도 성남시 수정구 태평동","5***","8m미만","73.10","전세","202604","25","12,000","0","1987","남문로19번길","202604~202804","신규","-","","","단독다가구"
"142","경기도 성남시 수정구 복정동","6**","12m미만","75.00","월세","202604","25","27,000","10","2005","복정로158번길","202605~202805","신규","-","","","단독다가구"
"143","경기도 성남시 수정구 복정동","6**","12m미만","26.00","월세","202604","25","1,000","50","","복정로84번길","202606~202806","신규","-","","","단독다가구"
"144","경기도 성남시 수정구 창곡동","5**","25m미만","60.00","전세","202604","25","38,000","0","2015","위례서일로1길","202606~202806","신규","-","","","단독다가구"
"145","경기도 성남시 수정구 창곡동","5**","12m미만","123.83","전세","202604","25","70,000","0","2018","위례한빛로","202604~202805","갱신","사용","68,000","0","단독다가구"
"146","경기도 성남시 수정구 태평동","3***","8m미만","56.19","월세","202604","25","3,000","85","2002","남문로74번길","202604~202804","갱신","사용","3,000","80","단독다가구"
"147","경기도 성남시 수정구 복정동","6**","25m미만","42.90","월세","202604","25","2,000","75","2004","복정로","202605~202805","신규","-","","","단독다가구"
"148","경기도 성남시 수정구 태평동","3***","8m미만","47.00","월세","202604","25","1,000","50","1996","수정북로21번길","202606~202806","신규","-","","","단독다가구"
"149","경기도 성남시 수정구 태평동","6***","8m미만","35.70","월세","202604","25","1,000","65","1990","수정북로9번길","202605~202805","신규","-","","","단독다가구"
"150","경기도 성남시 수정구 복정동","6**","12m미만","30.00","월세","202604","24","2,000","65","2002","복정로72번길","202604~202804","신규","-","","","단독다가구"
"151","경기도 성남시 수정구 복정동","6**","12m미만","82.00","월세","202604","24","10,000","115","2003","복정로106번길","202607~202807","신규","-","","","단독다가구"
"152","경기도 성남시 수정구 복정동","6**","12m미만","58.00","월세","202604","24","19,000","33","2008","복정로118번길","202605~202805","갱신","사용","19,000","28","단독다가구"
"153","경기도 성남시 수정구 창곡동","5**","12m미만","128.57","전세","202604","24","71,760","0","2018","위례한빛로","202604~202805","갱신","사용","69,000","0","단독다가구"
"154","경기도 성남시 수정구 태평동","6***","8m미만","30.00","월세","202604","24","500","50","1991","수정북로9번길","202604~202804","신규","-","","","단독다가구"
"155","경기도 성남시 수정구 태평동","3***","12m미만","39.60","월세","202604","24","1,000","37","1989","남문로60번길","202604~202804","갱신","-","1,000","37","단독다가구"
"156","경기도 성남시 수정구 태평동","6***","8m미만","18.20","월세","202604","24","500","45","2004","수정로57번길","202605~202804","신규","-","","","단독다가구"
"157","경기도 성남시 수정구 태평동","1***","8m미만","33.59","전세","202604","24","10,800","0","1980","시민로241번길","202605~202805","신규","-","","","단독다가구"
"158","경기도 성남시 수정구 태평동","3***","8m미만","30.74","전세","202604","24","19,900","0","1977","수정북로35번길","202608~202808","신규","-","","","단독다가구"
"159","경기도 성남시 수정구 태평동","3***","8m미만","59.33","전세","202604","24","22,000","0","1990","남문로94번길","202605~202805","신규","-","","","단독다가구"
"160","경기도 성남시 수정구 태평동","5***","8m미만","43.96","월세","202604","24","1,100","50","1991","남문로10번길","202605~202805","신규","-","","","단독다가구"
"161","경기도 성남시 수정구 태평동","1***","8m미만","37.35","월세","202604","24","1,000","50","1989","태평로82번길","202604~202804","신규","-","","","단독다가구"
"162","경기도 성남시 수정구 단대동","*","12m미만","111.06","월세","202604","24","3,000","70","1995","수정로466번길","202606~202806","신규","-","","","단독다가구"
"163","경기도 성남시 수정구 복정동","6**","12m미만","27.00","월세","202604","24","5,000","35","2002","복정로84번길","202605~202805","신규","-","","","단독다가구"
"164","경기도 성남시 수정구 복정동","6**","12m미만","24.00","월세","202604","24","5,000","18","2007","복정로96번길","202605~202705","신규","-","","","단독다가구"
"165","경기도 성남시 수정구 복정동","7**","12m미만","26.00","월세","202604","24","500","45","2002","복정로32번길","202605~202805","신규","-","","","단독다가구"
