"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-13 ~ 2026-05-12"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 중원구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"27","경기도 성남시 중원구 하대원동","160-20","0160","0020","금호빌라","41.0700","27.5375","202604","24","14,750","1","개인","개인","1990","마지로155번길 24-4","-","중개거래","경기 성남시 중원구","-"
"28","경기도 성남시 중원구 성남동","2863","2863","0000","상록빌라A동","59.8800","36.0000","202604","24","28,000","1","개인","개인","2000","시민로77번길 13","-","중개거래","경기 성남시 수정구","-"
"29","경기도 성남시 중원구 은행동","1012","1012","0000","한신빌리지","62.3700","26.4200","202604","23","35,000","3","개인","개인","1994","은이로7번길 12","-","중개거래","경기 성남시 중원구","26.04.27"
"30","경기도 성남시 중원구 은행동","2407","2407","0000","(2407-0)","39.2000","10.1940","202604","22","15,000","3","개인","개인","1999","자혜로57번길 18","-","직거래","-","26.04.24"
"31","경기도 성남시 중원구 은행동","1328","1328","0000","금강빌라","58.2100","15.6550","202604","21","16,000","3","개인","개인","1991","은행로37번길 4-1","-","직거래","-","26.04.22"
"32","경기도 성남시 중원구 은행동","830-1","0830","0001","대진빌라5차","42.3300","10.6500","202604","21","16,800","2","개인","개인","1993","은이로39번길 18-1","-","중개거래","경기 성남시 중원구","-"
"33","경기도 성남시 중원구 금광동","2693","2693","0000","건양주택(A)","38.7600","10.0800","202604","20","19,300","1","개인","개인","1994","자혜로 88-4","-","중개거래","경기 과천시, 경기 성남시 중원구","-"
"34","경기도 성남시 중원구 상대원동","1676-2","1676","0002","동명빌라","46.2000","25.3600","202604","19","26,000","-1","개인","개인","1997","박석로25번길 36-8","-","중개거래","경기 성남시 중원구","-"
"35","경기도 성남시 중원구 도촌동","639","0639","0000","동분당KCC스위첸파티오1단지","84.9800","158.0381","202604","18","88,500","1","개인","개인","2019","도촌남로 70-16","-","중개거래","경기 성남시 중원구","-"
"36","경기도 성남시 중원구 금광동","4432","4432","0000","연세쉐르빌","63.3200","20.1653","202604","18","41,500","5","개인","개인","2011","자혜로8번길 44","-","중개거래","경기 성남시 중원구","-"
"37","경기도 성남시 중원구 은행동","2298-2","2298","0002","삼진빌라(C)","59.2700","15.0700","202604","18","17,000","-1","개인","개인","1995","자혜로57번길 15-9","-","중개거래","경기 성남시 중원구","26.04.20"
"38","경기도 성남시 중원구 은행동","2234-1","2234","0001","녹원하이츠(19차)","48.6700","12.1900","202604","18","22,000","3","개인","개인","1994","은행로 80","-","중개거래","경기 성남시 중원구, 서울 관악구","-"
"39","경기도 성남시 중원구 은행동","1280","1280","0000","대운빌라","58.4200","16.3700","202604","18","24,000","2","개인","개인","1993","산성대로518번길 38","-","중개거래","경기 성남시 중원구","-"
"40","경기도 성남시 중원구 성남동","3778","3778","0000","삼환빌라(A동)","40.8900","27.3200","202604","17","22,300","1","개인","개인","1988","제일로43번길 5","-","중개거래","경기 성남시 중원구","-"
"41","경기도 성남시 중원구 중앙동","1654","1654","0000","한일아트","47.3900","12.7800","202604","17","24,900","2","개인","개인","1996","광명로256번길 53-20","-","중개거래","경기 성남시 중원구","-"
"42","경기도 성남시 중원구 중앙동","1653","1653","0000","옥산빌라","49.6800","14.0800","202604","17","26,500","4","개인","개인","1994","광명로264번길 30","-","중개거래","경기 성남시 중원구","-"
"43","경기도 성남시 중원구 금광동","21","0021","0000","다세대주택","41.2000","16.5500","202604","17","21,300","1","개인","법인","1986","광명로294번길 4","-","중개거래","경기 성남시 중원구","-"
"44","경기도 성남시 중원구 성남동","3835","3835","0000","민성아이빌","61.6700","31.5550","202604","17","34,700","2","개인","개인","2001","제일로35번길 9-18","-","중개거래","경기 성남시 수정구, 경기 성남시 중원구","-"
"45","경기도 성남시 중원구 상대원동","383-7","0383","0007","길환","40.4000","18.6000","202604","17","14,000","-1","개인","개인","1999","보통골로14번길 11","-","중개거래","경기 성남시 중원구","-"
"46","경기도 성남시 중원구 금광동","3329","3329","0000","(3329-0)","49.7800","33.5300","202604","17","28,500","1","개인","개인","1986","자혜로36번길 3-2","-","중개거래","경기 성남시 중원구","26.04.30"
"47","경기도 성남시 중원구 성남동","2960","2960","0000","백조빌라","39.1800","24.3750","202604","17","18,300","-1","개인","개인","1986","원터로69번길 6","-","중개거래","경기 성남시 수정구, 경기 성남시 중원구","-"
"48","경기도 성남시 중원구 상대원동","1339","1339","0000","청우빌라","62.6900","28.2500","202604","16","46,000","1","개인","개인","1996","박석로 35","-","중개거래","경기 성남시 수정구","-"
"49","경기도 성남시 중원구 도촌동","639","0639","0000","동분당KCC스위첸파티오1단지","84.9800","158.0440","202604","16","84,500","1","개인","개인","2019","도촌남로 70-16","-","중개거래","경기 성남시 중원구, 서울 도봉구","-"
"50","경기도 성남시 중원구 은행동","1117","1117","0000","평강빌라(B)","45.6000","11.0400","202604","16","14,800","4","개인","개인","1996","은이로37번길 10-1","-","중개거래","경기 성남시 수정구, 경기 성남시 중원구","-"
"51","경기도 성남시 중원구 금광동","106","0106","0000","중앙하리츠빌리지","84.8200","20.3500","202604","16","40,000","1","개인","개인","2000","희망로406번길 6","-","중개거래","경기 성남시 중원구","26.04.30"
"52","경기도 성남시 중원구 금광동","3691","3691","0000","리츠맨션(3691-0)","54.3500","19.8500","202604","15","30,000","3","개인","개인","2001","광명로335번길 5-5","-","중개거래","경기 성남시 수정구, 경기 성남시 중원구","-"
