"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-13 ~ 2026-05-12"
"실거래구분 : 오피스텔(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 중원구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","매수","매도","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"29","경기도 성남시 중원구 여수동","188","0188","0000","시티 스마트캐슬2.0","30.9300","202604","01","21,500","2","개인","개인","2019","양현로 413","-","중개거래","경기 성남시 분당구"
"30","경기도 성남시 중원구 성남동","2167","2167","0000","성남 수진역 더리브 프리미어","33.9900","202604","01","23,800","10","개인","법인","2024","산성대로 194","-","중개거래","경기 성남시 중원구"
"31","경기도 성남시 중원구 성남동","2263","2263","0000","현대그린타운","37.6200","202603","31","11,500","8","개인","개인","1999","광명로 71","-","중개거래","경기 성남시 중원구"
"32","경기도 성남시 중원구 여수동","183","0183","0000","성남 여수 오렌지카운티","25.1700","202603","30","17,000","4","개인","법인","2019","성남대로 993","-","중개거래","경기 성남시 수정구"
"33","경기도 성남시 중원구 성남동","1404","1404","0000","성남 센트럴 푸르지오 시티","20.0443","202603","28","14,800","7","개인","개인","2017","광명로 89","-","중개거래","경기 성남시 중원구"
"34","경기도 성남시 중원구 성남동","2167","2167","0000","성남 수진역 더리브 프리미어","33.9900","202603","28","23,800","8","개인","개인","2024","산성대로 194","-","중개거래","경기 성남시 수정구, 경기 성남시 중원구"
"35","경기도 성남시 중원구 성남동","3152","3152","0000","렉스타운","71.1300","202603","27","37,000","9","개인","개인","2018","광명로 37","-","중개거래","경기 성남시 중원구"
"36","경기도 성남시 중원구 성남동","2201","2201","0000","수진역 코아루 천년가 오피스텔","22.1700","202603","26","14,500","7","개인","개인","2019","광명로 103","-","직거래","-"
"37","경기도 성남시 중원구 성남동","1404","1404","0000","성남 센트럴 푸르지오 시티","20.3867","202603","26","14,000","12","개인","개인","2017","광명로 89","-","중개거래","경기 성남시 중원구"
"38","경기도 성남시 중원구 성남동","4163","4163","0000","오라타워","39.9000","202603","26","16,300","12","개인","개인","2006","성남대로1147번길 3","-","중개거래","경기 성남시 중원구"
"39","경기도 성남시 중원구 성남동","4169","4169","0000","성남 메트로칸","42.5100","202603","25","18,500","6","개인","개인","2011","성남대로 1133","-","중개거래","경기 성남시 중원구"
"40","경기도 성남시 중원구 성남동","2264","2264","0000","성남 모란 지웰에스테이트","26.2159","202603","25","17,500","12","개인","개인","2020","광명로 67","-","중개거래","경기 성남시 중원구"
"41","경기도 성남시 중원구 성남동","2201","2201","0000","수진역 코아루 천년가 오피스텔","25.0000","202603","25","16,000","11","개인","개인","2019","광명로 103","-","중개거래","경기 성남시 중원구"
"42","경기도 성남시 중원구 성남동","1404","1404","0000","성남 센트럴 푸르지오 시티","47.2800","202603","24","31,000","13","개인","개인","2017","광명로 89","-","중개거래","경기 성남시 중원구"
"43","경기도 성남시 중원구 성남동","2263","2263","0000","현대그린타운","25.9200","202603","23","9,000","9","개인","개인","1999","광명로 71","-","중개거래","경기 성남시 중원구"
"44","경기도 성남시 중원구 성남동","2332","2332","0000","퍼스트 뷰","79.3200","202603","21","54,000","14","개인","법인","2024","제일로74번길 23","-","직거래","-"
"45","경기도 성남시 중원구 금광동","2409","2409","0000","창보시티렉스","26.1300","202603","21","8,700","6","개인","개인","1998","광명로 384","-","중개거래","경기 성남시 중원구"
"46","경기도 성남시 중원구 성남동","2268","2268","0000","제니스오피스텔","50.5600","202603","20","29,000","13","개인","개인","2012","광명로 65","-","중개거래","경기 성남시 중원구"
"47","경기도 성남시 중원구 성남동","2263","2263","0000","현대그린타운","27.2000","202603","16","9,000","7","개인","개인","1999","광명로 71","-","중개거래","경기 성남시 중원구"
"48","경기도 성남시 중원구 성남동","1404","1404","0000","성남 센트럴 푸르지오 시티","20.3867","202603","16","14,000","12","개인","개인","2017","광명로 89","-","중개거래","경기 성남시 중원구"
"49","경기도 성남시 중원구 성남동","1404","1404","0000","성남 센트럴 푸르지오 시티","23.1835","202603","16","16,900","9","개인","개인","2017","광명로 89","-","중개거래","경기 성남시 중원구"
"50","경기도 성남시 중원구 성남동","1404","1404","0000","성남 센트럴 푸르지오 시티","48.2045","202603","13","35,000","12","개인","개인","2017","광명로 89","-","중개거래","경기 성남시 중원구"
