"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-13 ~ 2026-05-12"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 분당구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"28","경기도 성남시 분당구 대장동","590","0590","0000","판교SKVIEWTerrace","84.9906","119.0806","202604","02","135,000","3","개인","개인","2023","판교대장로7길 37","-","중개거래","경기 성남시 분당구","-"
"29","경기도 성남시 분당구 구미동","245","0245","0000","두산빌라","165.1600","193.8000","202603","30","120,000","1","개인","개인","1995","구미로130번길 36","-","중개거래","경기 성남시 분당구","-"
"30","경기도 성남시 분당구 야탑동","177","0177","0000","목련마을자영빌라","57.9750","64.9290","202603","27","100,000","4","개인","개인","1994","야탑로271번길 7","-","중개거래","경기 성남시 분당구","-"
"31","경기도 성남시 분당구 구미동","121","0121","0000","하얀마을건영빌라","164.9600","197.8370","202603","27","180,000","3","개인","개인","1995","금곡로 39","-","중개거래","경기 성남시 분당구","-"
"32","경기도 성남시 분당구 서현동","322","0322","0000","정도","53.8200","61.2000","202603","26","45,500","3","개인","개인","1995","불정로406번길 7","-","직거래","-","-"
"33","경기도 성남시 분당구 운중동","372-2","0372","0002","판교운중아펠바움2차","239.7100","335.1040","202603","23","415,000","1","개인","개인","2011","하오개로351번길 23","-","중개거래","경기 성남시 분당구","-"
"34","경기도 성남시 분당구 서현동","145","0145","0000","서현포스파크2","84.9600","135.5700","202603","23","105,000","2","개인","개인","2003","새마을로83번길 9","-","중개거래","경기 성남시 분당구","-"
"35","경기도 성남시 분당구 백현동","373-1","0373","0001","동양라샹스(LaChance)","149.1800","191.7900","202603","22","144,000","4","개인","개인","2008","대왕판교로385번길 13-4","-","중개거래","경기 성남시 분당구","-"
"36","경기도 성남시 분당구 분당동","61-4","0061","0004","하나빌라","179.6100","201.2600","202603","22","148,000","2","개인","개인","2000","예원로6번길 39","-","중개거래","경기 성남시 분당구","26.04.24"
"37","경기도 성남시 분당구 야탑동","270","0270","0000","매화마을화성빌리지","84.8500","96.9680","202603","21","121,000","2","개인","개인","1994","벌말로50번길 14","-","중개거래","경기 성남시 분당구","-"
"38","경기도 성남시 분당구 운중동","873","0873","0000","산운마을3단지(월든힐스)","143.0900","244.3200","202603","21","240,000","3","개인","개인","2010","산운로 55","-","중개거래","경기 성남시 분당구","-"
"39","경기도 성남시 분당구 궁내동","346-1","0346","0001","삼성파크","68.6400","76.4670","202603","20","45,000","3","개인","개인","2003","궁내로22번길 1","-","중개거래","경기 성남시 분당구","-"
"40","경기도 성남시 분당구 운중동","307","0307","0000","운중동푸르지오하임","84.7700","143.7988","202603","14","154,000","2","개인","개인","2012","하오개로 377","20260427","중개거래","경기 성남시 분당구","-"
"41","경기도 성남시 분당구 이매동","308","0308","0000","진흥아마란스","74.9900","85.4200","202603","13","44,500","2","개인","개인","2005","이매로133번길 16","-","중개거래","경기 성남시 분당구","-"
"42","경기도 성남시 분당구 야탑동","177","0177","0000","목련마을자영빌라","57.9750","64.9290","202603","13","97,000","2","개인","개인","1994","야탑로271번길 7","-","중개거래","경기 성남시 분당구","26.04.16"
"43","경기도 성남시 분당구 야탑동","177","0177","0000","목련마을자영빌라","57.9750","64.9290","202603","12","95,000","1","개인","개인","1994","야탑로271번길 7","-","중개거래","경기 성남시 분당구","26.03.20"
"44","경기도 성남시 분당구 야탑동","177","0177","0000","목련마을자영빌라","57.9750","64.9290","202603","11","95,000","3","개인","개인","1994","야탑로271번길 7","-","중개거래","경기 성남시 분당구, 서울 송파구","-"
"45","경기도 성남시 분당구 구미동","13","0013","0000","까치마을건영빌라6단지","59.8800","71.6643","202603","10","142,500","2","개인","개인","1995","미금일로 122","-","중개거래","경기 성남시 분당구","-"
"46","경기도 성남시 분당구 야탑동","158","0158","0000","대진빌라","53.8200","60.0640","202603","09","87,000","3","개인","개인","1994","판교로 654","-","중개거래","경기 성남시 분당구","26.04.16"
"47","경기도 성남시 분당구 대장동","590","0590","0000","판교SKVIEWTerrace","84.9653","119.0452","202603","09","125,000","2","개인","개인","2023","판교대장로7길 37","-","중개거래","경기 성남시 분당구","26.04.02"
"48","경기도 성남시 분당구 서현동","188-19","0188","0019","서현모닝빌103동","59.9700","67.9000","202603","09","47,500","2","개인","개인","2002","안골로 42","-","중개거래","경기 성남시 분당구","26.05.06"
"49","경기도 성남시 분당구 구미동","84","0084","0000","현대노블리스11","189.2600","225.7100","202603","09","230,000","1","개인","개인","2001","금곡로 171","-","중개거래","경기 성남시 분당구","-"
"50","경기도 성남시 분당구 이매동","296","0296","0000","이매포스파크","84.9900","111.6878","202603","06","87,000","3","개인","개인","2003","이매로123번길 12","-","중개거래","경기 성남시 분당구","-"
"51","경기도 성남시 분당구 야탑동","185","0185","0000","목련마을화성빌리지","71.7700","85.7510","202603","06","55,400","1","개인","개인","1994","야탑로271번길 28","-","직거래","-","26.03.11"
"52","경기도 성남시 분당구 분당동","50","0050","0000","청구빌라","164.8100","224.1900","202603","05","100,000","4","개인","개인","1995","예원로 11","-","직거래","-","26.03.17"
"53","경기도 성남시 분당구 운중동","987","0987","0000","산운마을7단지(휴먼시아연립)","151.3000","284.5600","202603","05","290,000","1","개인","개인","2010","산운로 135","-","직거래","-","-"
"54","경기도 성남시 분당구 야탑동","218","0218","0000","매화마을현대","51.1600","58.3200","202603","04","87,500","3","개인","개인","1994","벌말로50번길 27","-","중개거래","경기 성남시 분당구","26.04.30"
"55","경기도 성남시 분당구 판교동","631","0631","0000","판교원마을4단지(푸르지오연립)","153.8100","331.6700","202603","03","200,000","2","개인","개인","2009","판교원로 186","-","직거래","-","26.03.03"
"56","경기도 성남시 분당구 이매동","300-5","0300","0005","바움하우스","53.3500","66.2950","202603","03","75,000","4","개인","개인","2021","이매로133번길 5","20260429","직거래","-","-"
"57","경기도 성남시 분당구 운중동","987","0987","0000","산운마을7단지(휴먼시아연립)","131.2300","246.4900","202603","03","258,000","4","개인","개인","2010","산운로 135","-","중개거래","경기 성남시 분당구","26.04.09"
"58","경기도 성남시 분당구 판교동","552","0552","0000","판교원마을10단지(힐스테이트연립)","150.4200","227.3800","202603","02","243,000","3","개인","개인","2009","서판교로 73","-","중개거래","경기 성남시 분당구","-"
"59","경기도 성남시 분당구 야탑동","266","0266","0000","매화마을동신빌라","59.9200","70.8450","202603","02","100,000","1","개인","개인","1995","벌말로30번길 12","-","중개거래","경기 성남시 분당구","-"
"60","경기도 성남시 분당구 백현동","373-1","0373","0001","동양라샹스(LaChance)","194.7300","250.3600","202602","28","125,000","-1","개인","개인","2008","대왕판교로385번길 13-4","-","중개거래","서울 서초구","26.03.11"
"61","경기도 성남시 분당구 구미동","12","0012","0000","까치마을건영빌라5단지","59.1000","69.7114","202602","27","141,000","4","개인","개인","1995","미금일로 136","-","중개거래","경기 성남시 분당구","-"
"62","경기도 성남시 분당구 운중동","352","0352","0000","판교파크하임(402동)","61.3800","69.0400","202602","27","48,000","2","개인","개인","2018","하오개로351번길 8-5","-","직거래","-","26.03.25"
"63","경기도 성남시 분당구 이매동","339-1","0339","0001","라온누리(B동)","67.2450","84.5000","202602","25","68,000","3","개인","개인","2016","이매로 155","-","중개거래","경기 성남시 분당구","-"
"64","경기도 성남시 분당구 분당동","95","0095","0000","장안타운(건영)951","84.7300","99.8055","202602","25","130,000","1","개인","개인","1995","장안로 67","-","중개거래","경기 성남시 분당구","26.04.27"
"65","경기도 성남시 분당구 이매동","359-4","0359","0004","현대쉐르빌","57.4500","57.3000","202602","25","28,000","3","기타","개인","2003","이매로 140","-","직거래","-","26.04.23"
"66","경기도 성남시 분당구 야탑동","408","0408","0000","중일에이스","84.7644","97.7894","202602","24","65,500","1","개인","개인","2001","판교로610번길 9","-","중개거래","경기 성남시 분당구","-"
"67","경기도 성남시 분당구 이매동","300-5","0300","0005","바움하우스","53.3500","66.2950","202602","23","65,000","2","개인","개인","2021","이매로133번길 5","20260429","직거래","-","-"
"68","경기도 성남시 분당구 운중동","875","0875","0000","산운마을1단지(월든힐스)","155.9000","289.4200","202602","23","240,000","2","개인","개인","2010","산운로 7","-","중개거래","경기 성남시 분당구","26.03.31"
"69","경기도 성남시 분당구 대장동","577-1","0577","0001","써밋스페이스(105동,106동)","50.6000","63.4540","202602","22","25,000","2","개인","법인","2017","벌장투리로23번길 2","-","중개거래","경기 용인시 수지구","26.04.15"
"70","경기도 성남시 분당구 구미동","250","0250","0000","삼환빌라","165.3300","193.9110","202602","21","95,000","3","개인","개인","1995","구미로144번길 25","-","중개거래","경기 성남시 분당구","26.03.03"
"71","경기도 성남시 분당구 이매동","270","0270","0000","현대쉐르빌B동","60.1500","70.0000","202602","21","36,800","4","개인","개인","2002","이매로89번길 28","-","중개거래","경기 성남시 중원구","26.03.09"
"72","경기도 성남시 분당구 구미동","13","0013","0000","까치마을건영빌라6단지","59.9300","71.7241","202602","20","81,100","1","개인","개인","1995","미금일로 122","-","중개거래","경기 성남시 분당구","-"
"73","경기도 성남시 분당구 대장동","590","0590","0000","판교SKVIEWTerrace","75.9983","106.4815","202602","19","115,500","3","개인","개인","2023","판교대장로7길 37","-","중개거래","경기 성남시 분당구","26.04.09"
"74","경기도 성남시 분당구 판교동","552","0552","0000","판교원마을10단지(힐스테이트연립)","125.4200","189.3100","202602","15","210,000","4","개인","개인","2009","서판교로 73","-","중개거래","경기 성남시 분당구","-"
"75","경기도 성남시 분당구 야탑동","185","0185","0000","목련마을화성빌리지","71.7700","85.7510","202602","13","110,000","4","개인","개인","1994","야탑로271번길 28","-","중개거래","경기 성남시 분당구","26.02.27"
"76","경기도 성남시 분당구 서현동","323","0323","0000","효자촌대명","58.9500","65.8937","202602","13","95,000","4","개인","개인","1995","분당로263번길 67","-","중개거래","경기 성남시 분당구","-"
"77","경기도 성남시 분당구 야탑동","182","0182","0000","두원빌라(182)","79.8200","88.8300","202602","12","126,500","1","개인","개인","1994","야탑로231번길 35","-","중개거래","경기 성남시 분당구","26.03.26"
"78","경기도 성남시 분당구 분당동","113","0113","0000","장안타운(건영빌라)","59.9300","67.9690","202602","12","69,000","4","개인","개인","1995","서현로 471","-","직거래","-","-"
"79","경기도 성남시 분당구 구미동","117","0117","0000","벽산빌라","196.2000","240.6000","202602","09","114,200","2","개인","개인","1996","미금로 105","-","직거래","-","26.03.06"
"80","경기도 성남시 분당구 분당동","73","0073","0000","분당현진리치빌","164.6700","200.7051","202602","09","140,000","2","개인","개인","1997","분당로 283","-","중개거래","경기 성남시 분당구","-"
