"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-13 ~ 2026-05-12"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 중원구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"29","경기도 성남시 중원구 여수동","601","0601","0000","연꽃마을(4단지)","120.9700","202604","25","144,000","-","7","개인","개인","2012","여수울로 50","-","중개거래","경기 성남시 중원구","-"
"30","경기도 성남시 중원구 금광동","2450-1","2450","0001","황송마을","49.9800","202604","24","50,000","-","10","개인","개인","1993","황송로 6","-","중개거래","서울 송파구","-"
"31","경기도 성남시 중원구 은행동","550","0550","0000","은행주공","75.2400","202604","24","76,000","-","1","개인","개인","1987","산성대로552번길 15","-","중개거래","경기 성남시 중원구","-"
"32","경기도 성남시 중원구 상대원동","178-6","0178","0006","일성","67.6800","202604","24","29,500","-","7","개인","개인","1993","순환로198번길 12","-","중개거래","경기 성남시 중원구","-"
"33","경기도 성남시 중원구 상대원동","279-1","0279","0001","선경2차","49.9800","202604","24","50,500","-","14","개인","개인","1994","금상로 134","-","중개거래","경기 성남시 중원구","-"
"34","경기도 성남시 중원구 중앙동","578","0578","0000","중앙동힐스테이트1차","84.9800","202604","24","108,000","-","12","개인","개인","2012","시민로66번길 21","-","중개거래","경기 성남시 중원구, 경기 화성시 동탄구","-"
"35","경기도 성남시 중원구 금광동","1020","1020","0000","e편한세상금빛그랑메종5단지","59.9800","202604","23","101,500","-","28","개인","개인","2023","금광로 72","-","중개거래","경기 성남시 중원구","-"
"36","경기도 성남시 중원구 금광동","1016","1016","0000","e편한세상금빛그랑메종4단지","59.9800","202604","23","80,000","-","20","개인","개인","2023","금광로 71","-","직거래","-","-"
"37","경기도 성남시 중원구 은행동","550","0550","0000","은행주공","66.5600","202604","23","75,500","-","1","개인","개인","1987","산성대로552번길 15","-","중개거래","경기 성남시 수정구, 경기 성남시 중원구","-"
"38","경기도 성남시 중원구 상대원동","279-1","0279","0001","선경2차","49.9800","202604","23","54,500","-","8","개인","개인","1994","금상로 134","-","중개거래","경기 성남시 중원구","-"
