"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-13 ~ 2026-05-12"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 수정구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"30","경기도 성남시 수정구 고등동","590","0590","0000","판교밸리제일풍경채","84.9826","202604","23","123,300","-","8","개인","법인","2020","고등공원로 19","-","직거래","-","-"
"31","경기도 성남시 수정구 고등동","590","0590","0000","판교밸리제일풍경채","84.9387","202604","22","131,200","-","6","개인","법인","2020","고등공원로 19","-","직거래","-","-"
"32","경기도 성남시 수정구 창곡동","597","0597","0000","위례포레스트부영","85.4942","202604","22","124,000","-","6","개인","개인","2019","헌릉로 1005","-","중개거래","서울 관악구","-"
"33","경기도 성남시 수정구 고등동","590","0590","0000","판교밸리제일풍경채","84.9959","202604","22","132,100","-","13","개인","법인","2020","고등공원로 19","-","직거래","-","-"
"34","경기도 성남시 수정구 고등동","590","0590","0000","판교밸리제일풍경채","84.9959","202604","21","123,800","-","5","개인","법인","2020","고등공원로 19","-","직거래","-","-"
"35","경기도 성남시 수정구 고등동","590","0590","0000","판교밸리제일풍경채","84.9959","202604","20","125,000","-","14","개인","법인","2020","고등공원로 19","-","직거래","-","-"
"36","경기도 성남시 수정구 고등동","590","0590","0000","판교밸리제일풍경채","84.9959","202604","20","132,100","-","13","개인","법인","2020","고등공원로 19","-","직거래","-","-"
"37","경기도 성남시 수정구 고등동","601","0601","0000","판교밸리자이3단지","60.9892","202604","18","108,000","-","12","개인","개인","2023","대왕판교로 961","-","중개거래","경기 성남시 수정구","-"
"38","경기도 성남시 수정구 고등동","590","0590","0000","판교밸리제일풍경채","84.9387","202604","18","125,800","-","3","개인","법인","2020","고등공원로 19","-","직거래","-","-"
"39","경기도 성남시 수정구 고등동","590","0590","0000","판교밸리제일풍경채","84.9387","202604","18","132,400","-","10","개인","법인","2020","고등공원로 19","-","직거래","-","-"
