"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-13 ~ 2026-05-12"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 수정구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"27","경기도 성남시 수정구 산성동","479","0479","0000","금성빌라1차","35.4200","9.1250","202604","11","19,000","1","개인","개인","1997","수정남로326번길 12-7","-","중개거래","서울 송파구","26.04.29"
"28","경기도 성남시 수정구 단대동","35-1","0035","0001","상원아트빌라","59.1000","27.0000","202604","11","20,500","-1","개인","개인","1990","논골로61번길 15","-","중개거래","서울 송파구","26.04.27"
"29","경기도 성남시 수정구 산성동","419","0419","0000","대왕주택3차","38.1900","9.8500","202604","10","27,400","3","개인","개인","1997","수정남로326번길 4-6","-","중개거래","경기 성남시 수정구","-"
"30","경기도 성남시 수정구 단대동","29-2","0029","0002","한강빌라","41.5600","10.6100","202604","09","16,000","-1","개인","개인","1993","논골로53번길 4-9","-","중개거래","경기 성남시 수정구, 경기 성남시 중원구","26.04.27"
"31","경기도 성남시 수정구 양지동","720","0720","0000","은행다세대(A동)","29.6900","21.4000","202604","09","15,000","3","개인","개인","1986","논골로36번길 19-3","-","중개거래","경기 성남시 중원구","-"
"32","경기도 성남시 수정구 태평동","3276","3276","0000","허브빌리지","53.2800","21.8200","202604","08","28,000","3","개인","개인","2001","남문로86번길 5","-","중개거래","경기 성남시 수정구","-"
"33","경기도 성남시 수정구 양지동","101","0101","0000","동양다세대(18동)","34.8400","19.3000","202604","08","14,500","1","개인","개인","1988","수정로578번길 10-3","-","중개거래","경기 성남시 중원구, 경기 안양시 만안구","-"
"34","경기도 성남시 수정구 신흥동","183-3","0183","0003","수정빌라(B동)","75.1300","21.6070","202604","07","39,500","5","개인","개인","2003","수정남로 245","-","중개거래","경기 성남시 수정구","-"
"35","경기도 성남시 수정구 단대동","50-3","0050","0003","일광빌라","40.7100","10.8800","202604","06","24,000","2","개인","개인","1993","논골로47번길 4-4","-","중개거래","경기 성남시 수정구, 경기 성남시 중원구","26.04.27"
"36","경기도 성남시 수정구 단대동","170-5","0170","0005","예인빌리지","45.6900","25.2240","202604","06","36,000","4","개인","개인","2015","희망로466번길 21","-","중개거래","경기 성남시 수정구","26.04.30"
"37","경기도 성남시 수정구 태평동","3449","3449","0000","이화쉐르빌","77.1000","28.3400","202604","06","41,500","3","개인","개인","2004","수정로153번길 15","-","중개거래","경기 성남시 수정구","-"
"38","경기도 성남시 수정구 양지동","114","0114","0000","동양다세대","35.5900","22.3300","202604","05","12,500","1","개인","개인","1986","산성대로581번길 14-7","-","중개거래","경기 성남시 수정구","-"
"39","경기도 성남시 수정구 태평동","3307-132","3307","0132","일만빌라","40.3500","20.8600","202604","04","15,500","1","개인","개인","1990","남문로94번길 15-8","-","중개거래","경기 성남시 수정구","26.04.29"
