"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-13 ~ 2026-05-12"
"실거래구분 : 아파트(전월세)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 중원구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"29","경기도 성남시 중원구 하대원동","539","0539","0000","성남자이","전세","59.9900","202604","30","49,000","0","12","2007","둔촌대로 363","202606~202806","신규","-","","","아파트"
"30","경기도 성남시 중원구 하대원동","249","0249","0000","아튼빌","월세","84.9900","202604","30","5,000","165","5","2003","둔촌대로 300","202609~202809","신규","-","","","아파트"
"31","경기도 성남시 중원구 성남동","3121","3121","0000","현대","전세","42.6200","202604","30","24,000","0","15","1992","둔촌대로 193","202607~202807","신규","-","","","아파트"
"32","경기도 성남시 중원구 도촌동","703","0703","0000","휴먼시아섬마을4단지(임대)","월세","51.9900","202604","30","7,875","14","2","2008","도촌남로 69","202605~202804","갱신","-","0","14","아파트"
"33","경기도 성남시 중원구 도촌동","701","0701","0000","휴먼시아섬마을2단지(임대)","월세","51.9600","202604","30","8,275","15","12","2008","도촌남로 24","202605~202804","갱신","-","7,835","12","아파트"
"34","경기도 성남시 중원구 도촌동","707","0707","0000","휴먼시아섬마을8단지(임대)","월세","59.8900","202604","29","6,205","38","3","2008","도촌남로 134","202604~202806","신규","-","","","아파트"
"35","경기도 성남시 중원구 도촌동","700","0700","0000","LH동분당센트럴파크","월세","59.9800","202604","29","6,145","37","7","2010","도촌남로 22","202604~202806","신규","-","","","아파트"
"36","경기도 성남시 중원구 도촌동","708","0708","0000","휴먼시아섬마을9단지(임대)","월세","51.9900","202604","29","4,875","32","11","2008","도촌남로 148","202605~202804","갱신","-","4,643","32","아파트"
"37","경기도 성남시 중원구 여수동","602","0602","0000","산들마을2단지","전세","51.9300","202604","29","33,300","0","9","2015","여수울로 51","202606~202806","신규","-","","","아파트"
"38","경기도 성남시 중원구 금광동","2600","2600","0000","한양수자인성남마크뷰","월세","59.8423","202604","29","30,000","70","12","2021","광명로 411","202606~202806","신규","-","","","아파트"
