"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-13 ~ 2026-05-12"
"실거래구분 : 연립다세대(전월세)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 수정구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","건물명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"29","경기도 성남시 수정구 수진동","2990","2990","0000","그린하우스","월세","44.2000","202604","22","3,000","40","1","1983","성남대로1226번길 12","202605~202805","신규","-","","","연립다세대"
"30","경기도 성남시 수정구 단대동","32-3","0032","0003","아름빌라","전세","37.7200","202604","22","7,800","0","-1","1994","논골로53번길 10-7","202606~202806","신규","-","","","연립다세대"
"31","경기도 성남시 수정구 단대동","28-5","0028","0005","남경빌라","월세","43.1800","202604","22","12,000","15","4","1994","논골로 53","202606~202806","신규","-","","","연립다세대"
"32","경기도 성남시 수정구 창곡동","575","0575","0000","이편한세상테라스위례","월세","84.9529","202604","21","42,279","43","4","2017","위례동이로 24","202605~202805","갱신","-","41,168","42","연립다세대"
"33","경기도 성남시 수정구 신흥동","3839","3839","0000","제이드힐스","전세","76.9475","202604","20","35,000","0","11","2021","산성대로255번길 21","202606~202806","신규","-","","","연립다세대"
"34","경기도 성남시 수정구 복정동","575-10","0575","0010","상아탑빌라","전세","27.4200","202604","18","13,650","0","4","2000","성남대로1379번길 28","202605~202805","갱신","-","13,000","0","연립다세대"
"35","경기도 성남시 수정구 사송동","536","0536","0000","뉴그린빌(1동,2동)","월세","58.1700","202604","18","10,000","75","2","2019","설개로89번길 3","202606~202806","신규","-","","","연립다세대"
"36","경기도 성남시 수정구 수진동","2941","2941","0000","드림파크빌","전세","71.0100","202604","18","34,500","0","5","2016","제일로157번길 8","202607~202807","신규","-","","","연립다세대"
"37","경기도 성남시 수정구 태평동","7295","7295","0000","금광맨션","전세","60.0300","202604","18","19,950","0","1","1997","남문로136번길 7","202605~202805","갱신","사용","19,000","0","연립다세대"
"38","경기도 성남시 수정구 창곡동","575","0575","0000","이편한세상테라스위례","월세","84.8555","202604","17","38,789","62","1","2017","위례동이로 24","202605~202805","갱신","-","38,178","61","연립다세대"
"39","경기도 성남시 수정구 태평동","3185-4","3185","0004","현대빌라(마동)","전세","32.4600","202604","17","12,200","0","3","1987","남문로74번길 10-3","202605~202805","신규","-","","","연립다세대"
"40","경기도 성남시 수정구 단대동","11-2","0011","0002","합동맨션","전세","59.8300","202604","16","18,000","0","4","1995","논골로67번길 2","202605~202805","갱신","사용","17,700","0","연립다세대"
"41","경기도 성남시 수정구 신흥동","923-2","0923","0002","신흥리더스빌","전세","63.4300","202604","15","30,000","0","6","2016","수정로288번길 3","202610~202810","신규","-","","","연립다세대"
"42","경기도 성남시 수정구 수진동","4606-1","4606","0001","동양빌라(가동)","월세","35.7200","202604","14","2,000","50","-1","1989","성남대로1209번길 9","202605~202805","신규","-","","","연립다세대"
"43","경기도 성남시 수정구 산성동","474-1","0474","0001","반석빌라(474-1)","전세","57.9200","202604","14","10,000","0","-1","1997","수정남로326번길 12-4","202607~202807","신규","-","","","연립다세대"
"44","경기도 성남시 수정구 단대동","22-3","0022","0003","대도빌리지","전세","37.5000","202604","13","12,000","0","1","1995","논골로61번길 4-1","202606~202806","신규","-","","","연립다세대"
"45","경기도 성남시 수정구 산성동","140-1","0140","0001","반석빌라(B동)","전세","55.6400","202604","13","20,000","0","2","1997","수정남로328번길 12","202604~202804","신규","-","","","연립다세대"
"46","경기도 성남시 수정구 태평동","3571","3571","0000","우주가옥태평","전세","69.6700","202604","13","33,600","0","3","2023","수정로135번길 17-11","202605~202805","갱신","사용","32,000","0","연립다세대"
"47","경기도 성남시 수정구 단대동","44-5","0044","0005","다세대주택","전세","36.3000","202604","13","13,000","0","2","1994","논골로53번길 19-9","202605~202805","신규","-","","","연립다세대"
"48","경기도 성남시 수정구 수진동","2986","2986","0000","현대빌라트(B)","전세","76.3000","202604","11","24,000","0","3","2003","성남대로1226번길 14","202607~202807","신규","-","","","연립다세대"
"49","경기도 성남시 수정구 산성동","410","0410","0000","신성빌라(다동)","전세","36.6600","202604","11","11,000","0","4","1997","수정남로324번길 6","202605~202805","신규","-","","","연립다세대"
"50","경기도 성남시 수정구 산성동","480","0480","0000","반석빌라(480-0)","전세","59.6400","202604","11","18,500","0","4","1999","수정로456번길 74-1","202607~202807","신규","-","","","연립다세대"
"51","경기도 성남시 수정구 산성동","480","0480","0000","반석빌라(480-0)","월세","59.6400","202604","11","5,000","60","4","1999","수정로456번길 74-1","202605~202805","신규","-","","","연립다세대"
"52","경기도 성남시 수정구 단대동","28-8","0028","0008","삼호빌라(B동)","전세","39.5400","202604","10","7,000","0","-1","1993","논골로53번길 4-8","202606~202806","신규","-","","","연립다세대"
"53","경기도 성남시 수정구 태평동","7319-1","7319","0001","잉꼬빌라","전세","44.1600","202604","10","7,500","0","-1","1993","시민로198번길 3-12","202605~202805","신규","-","","","연립다세대"
"54","경기도 성남시 수정구 단대동","38-2","0038","0002","수정빌라(38-2)","전세","38.5350","202604","10","11,000","0","4","1994","논골로53번길 24-5","202605~202805","신규","-","","","연립다세대"
"55","경기도 성남시 수정구 단대동","29-9","0029","0009","한성빌라","전세","39.6200","202604","10","13,000","0","3","1993","논골로53번길 6-10","202605~202805","신규","-","","","연립다세대"
"56","경기도 성남시 수정구 태평동","3307-131","3307","0131","힐탑빌리지","전세","40.8700","202604","10","13,500","0","3","1990","남문로94번길 15-10","202605~202805","신규","-","","","연립다세대"
"57","경기도 성남시 수정구 태평동","831","0831","0000","태평노블레스(101동)","전세","65.9600","202604","09","25,000","0","4","2015","탄리로146번길 12","202605~202805","신규","-","","","연립다세대"
"58","경기도 성남시 수정구 태평동","3185-4","3185","0004","현대빌라(마동)","월세","29.6600","202604","09","1,000","45","-1","1987","남문로74번길 10-3","202605~202805","신규","-","","","연립다세대"
"59","경기도 성남시 수정구 양지동","426","0426","0000","금성빌라(A동)","월세","41.2000","202604","09","10,700","30","3","1988","산성대로527번길 19-3","202605~202805","신규","-","","","연립다세대"
"60","경기도 성남시 수정구 양지동","426","0426","0000","금성빌라(A동)","전세","41.2000","202604","09","10,700","0","3","1988","산성대로527번길 19-3","202605~202805","신규","-","","","연립다세대"
"61","경기도 성남시 수정구 산성동","440","0440","0000","대하빌라","전세","59.8800","202604","09","18,000","0","4","1997","수정남로326번길 6-1","202606~202806","신규","-","","","연립다세대"
"62","경기도 성남시 수정구 양지동","260","0260","0000","더헤리티지","전세","45.1300","202604","08","24,000","0","4","2019","양지로 54","202606~202806","신규","-","","","연립다세대"
"63","경기도 성남시 수정구 신흥동","94","0094","0000","대원빌라","전세","51.7200","202604","08","18,100","0","2","1991","수정로251번길 23","202605~202805","갱신","-","17,600","0","연립다세대"
"64","경기도 성남시 수정구 태평동","7264-1","7264","0001","삼둔주택(라동)","월세","42.1200","202604","08","12,000","40","3","1993","수정로35번길 5","202605~202805","신규","-","","","연립다세대"
"65","경기도 성남시 수정구 태평동","3449","3449","0000","이화쉐르빌","전세","77.1000","202604","07","24,000","0","5","2004","수정로153번길 15","202606~202806","신규","-","","","연립다세대"
"66","경기도 성남시 수정구 태평동","4319-2","4319","0002","경원타운(2동)","전세","72.7800","202604","07","30,000","0","4","2001","제일로 228","202604~202804","신규","-","","","연립다세대"
"67","경기도 성남시 수정구 태평동","7269","7269","0000","산호맨션(가동)","전세","54.3900","202604","07","22,000","0","2","1983","수정로25번길 8","202605~202805","신규","-","","","연립다세대"
"68","경기도 성남시 수정구 산성동","452","0452","0000","청송빌라(452-0)","전세","31.5700","202604","06","7,600","0","2","1997","수정남로326번길 8-3","202604~202804","갱신","사용","7,500","0","연립다세대"
"69","경기도 성남시 수정구 태평동","4344-2","4344","0002","부광맨션","전세","88.3300","202604","06","28,000","0","4","1996","남문로31번길 18","202606~202806","신규","-","","","연립다세대"
"70","경기도 성남시 수정구 창곡동","575","0575","0000","이편한세상테라스위례","월세","84.7398","202604","06","40,657","65","3","2017","위례동이로 24","202605~202805","갱신","-","39,588","63","연립다세대"
"71","경기도 성남시 수정구 사송동","537-2","0537","0002","그린빌","월세","51.2200","202604","06","16,000","15","2","2016","설개로89번길 7","202604~202804","신규","-","","","연립다세대"
"72","경기도 성남시 수정구 태평동","6523","6523","0000","인티움","월세","27.3100","202604","06","1,000","75","4","2010","성남대로 1244","202604~202804","신규","-","","","연립다세대"
"73","경기도 성남시 수정구 단대동","37-7","0037","0007","로얄맨션","월세","43.7500","202604","06","2,000","50","2","1994","논골로53번길 24-4","202605~202805","신규","-","","","연립다세대"
"74","경기도 성남시 수정구 산성동","452","0452","0000","청송빌라(452-0)","전세","31.5700","202604","06","7,600","0","2","1997","수정남로326번길 8-3","202604~202804","갱신","사용","7,500","0","연립다세대"
"75","경기도 성남시 수정구 산성동","79","0079","0000","준영타운(79-0)","전세","39.5600","202604","04","17,000","0","4","2007","수정로456번길 56","202606~202806","신규","-","","","연립다세대"
"76","경기도 성남시 수정구 태평동","5857-20","5857","0020","영보빌라","월세","26.5200","202604","04","11,000","10","2","2008","남문로12번길 3","202604~202804","갱신","-","11,000","0","연립다세대"
"77","경기도 성남시 수정구 태평동","7168","7168","0000","미화빌라(가)","전세","40.9300","202604","04","7,000","0","-1","1990","성남대로1263번길 14-1","202606~202806","신규","-","","","연립다세대"
"78","경기도 성남시 수정구 태평동","3307-120","3307","0120","광성빌라","월세","46.6700","202604","04","500","30","-1","1992","남문로94번길 15-3","202604~202804","신규","-","","","연립다세대"
"79","경기도 성남시 수정구 단대동","56-6","0056","0006","삼보가든빌라(나동)","전세","40.8000","202604","04","12,000","0","3","1990","논골로29번길 8-2","202605~202805","신규","-","","","연립다세대"
"80","경기도 성남시 수정구 신흥동","80-1","0080","0001","신원빌리지(102동)","월세","53.4000","202604","03","2,000","50","1","1995","수정로251번길 22","202606~202806","신규","-","","","연립다세대"
"81","경기도 성남시 수정구 태평동","7264-11","7264","0011","삼보빌라(나동)","전세","57.2200","202604","03","15,000","0","-1","1993","수정로 35","202606~202806","신규","-","","","연립다세대"
"82","경기도 성남시 수정구 태평동","4319-4","4319","0004","경원타운(4동)","전세","66.3700","202604","02","30,000","0","3","2001","제일로224번길 3","202604~202804","신규","-","","","연립다세대"
"83","경기도 성남시 수정구 태평동","1025","1025","0000","정선빌라","전세","56.1600","202604","02","13,000","0","-1","2001","남문로89번길 29","202604~202804","갱신","-","10,000","0","연립다세대"
"84","경기도 성남시 수정구 산성동","449","0449","0000","대왕빌라","전세","39.5900","202604","02","11,000","0","3","1997","수정남로326번길 8-4","202605~202805","신규","-","","","연립다세대"
"85","경기도 성남시 수정구 양지동","808","0808","0000","영창맨션","전세","60.8700","202604","01","21,000","0","1","2000","산성대로503번길 13","202604~202804","갱신","사용","20,000","0","연립다세대"
"86","경기도 성남시 수정구 신흥동","3621","3621","0000","신성맨션","전세","56.1600","202604","01","20,000","0","-1","2001","수정남로144번길 9-1","202606~202806","신규","-","","","연립다세대"
