"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-13 ~ 2026-05-12"
"실거래구분 : 단독다가구(전월세)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 분당구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","도로조건","계약면적(㎡)","전월세구분","계약년월","계약일","보증금(만원)","월세금(만원)","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"35","경기도 성남시 분당구 야탑동","3**","8m미만","17.00","월세","202605","02","500","50","1996","장미로100번길","202607~202807","신규","-","","","단독다가구"
"36","경기도 성남시 분당구 백현동","5**","12m미만","114.41","전세","202605","01","53,600","0","2009","판교역로2번길","202608~202808","신규","-","","","단독다가구"
"37","경기도 성남시 분당구 궁내동","3**","12m미만","21.60","월세","202605","01","1,000","74","","궁내로22번길","202605~202705","갱신","-","1,000","71","단독다가구"
"38","경기도 성남시 분당구 운중동","9**","12m미만","67.00","전세","202605","01","40,000","0","2010","산운로160번길","202606~202806","신규","-","","","단독다가구"
"39","경기도 성남시 분당구 야탑동","3**","8m미만","21.00","월세","202605","01","1,000","45","1995","장미로92번길","202606~202806","신규","-","","","단독다가구"
"40","경기도 성남시 분당구 이매동","2**","8m미만","184.38","전세","202605","01","42,000","0","2000","이매로89번길","202605~202804","신규","-","","","단독다가구"
"41","경기도 성남시 분당구 정자동","2**","12m미만","50.00","전세","202605","01","20,000","0","1996","불곡북로21번길","202607~202807","신규","-","","","단독다가구"
"42","경기도 성남시 분당구 정자동","1**","8m미만","57.00","월세","202605","01","2,000","100","1997","황새울로12번길","202606~202806","신규","-","","","단독다가구"
"43","경기도 성남시 분당구 정자동","6*","8m미만","22.00","월세","202605","01","500","45","2000","느티로77번길","202605~202805","신규","-","","","단독다가구"
"44","경기도 성남시 분당구 정자동","2**","8m미만","107.80","월세","202604","30","34,000","30","2014","불곡북로27번길","202607~202807","신규","-","","","단독다가구"
"45","경기도 성남시 분당구 야탑동","3**","8m미만","49.58","전세","202604","30","25,000","0","1997","야탑로139번길","202605~202805","신규","-","","","단독다가구"
"46","경기도 성남시 분당구 정자동","8*","12m미만","23.00","월세","202604","30","1,000","60","2001","황새울로116번길","202605~202805","신규","-","","","단독다가구"
"47","경기도 성남시 분당구 판교동","5**","12m미만","124.43","전세","202604","30","56,000","0","2010","서판교로44번길","202606~202806","갱신","사용","54,000","0","단독다가구"
"48","경기도 성남시 분당구 분당동","1**","12m미만","24.00","월세","202604","30","500","32","2002","장안로62번길","202605~202804","신규","-","","","단독다가구"
"49","경기도 성남시 분당구 수내동","1**","12m미만","24.57","월세","202604","30","500","40","2000","발이봉북로31번길","202605~202805","신규","-","","","단독다가구"
"50","경기도 성남시 분당구 구미동","5*","8m미만","27.00","월세","202604","30","1,000","65","1996","미금일로86번길","202607~202807","신규","-","","","단독다가구"
"51","경기도 성남시 분당구 수내동","9*","25m미만","27.00","월세","202604","30","1,000","50","2000","발이봉남로4번길","202605~202805","신규","-","","","단독다가구"
"52","경기도 성남시 분당구 정자동","2**","8m미만","50.00","월세","202604","29","500","55","1996","불곡남로17번길","202606~202806","신규","-","","","단독다가구"
"53","경기도 성남시 분당구 서현동","3**","8m미만","52.00","월세","202604","29","17,000","15","2000","서현로371번길","202606~202806","신규","-","","","단독다가구"
"54","경기도 성남시 분당구 서현동","1**","8m미만","18.00","월세","202604","29","500","30","2003","안골로48번길","202605~202705","신규","-","","","단독다가구"
"55","경기도 성남시 분당구 구미동","1**","12m미만","26.00","전세","202604","29","5,000","0","","금곡로15번길","-","-","-","","","단독다가구"
"56","경기도 성남시 분당구 서현동","3**","8m미만","28.00","월세","202604","29","1,000","53","2000","돌마로522번길","202605~202805","신규","-","","","단독다가구"
"57","경기도 성남시 분당구 정자동","1**","8m미만","50.00","월세","202604","28","1,000","65","1997","불정로65번길","202607~202807","신규","-","","","단독다가구"
"58","경기도 성남시 분당구 야탑동","2**","8m미만","14.30","월세","202604","28","2,000","40","1998","장미로132번길","202604~202804","신규","-","","","단독다가구"
"59","경기도 성남시 분당구 판교동","6**","25m미만","139.87","월세","202604","28","43,000","29","2010","판교공원로5길","202605~202805","갱신","-","43,000","20","단독다가구"
"60","경기도 성남시 분당구 분당동","1**","8m미만","24.22","월세","202604","28","1,000","45","2002","서현로429번길","202606~202806","갱신","사용","1,000","40","단독다가구"
"61","경기도 성남시 분당구 구미동","1**","12m미만","20.00","전세","202604","28","8,000","0","2001","금곡로15번길","202605~202805","신규","-","","","단독다가구"
"62","경기도 성남시 분당구 야탑동","2**","8m미만","114.98","월세","202604","28","2,000","40","1998","장미로132번길","202604~202804","신규","-","","","단독다가구"
"63","경기도 성남시 분당구 수내동","1**","8m미만","21.00","월세","202604","28","3,000","40","1997","발이봉남로25번길","202605~202805","신규","-","","","단독다가구"
"64","경기도 성남시 분당구 구미동","5*","12m미만","23.00","월세","202604","28","2,000","42","2000","미금일로74번길","202605~202804","신규","-","","","단독다가구"
"65","경기도 성남시 분당구 정자동","6*","25m미만","25.00","월세","202604","28","500","45","2000","느티로77번길","202605~202805","신규","-","","","단독다가구"
"66","경기도 성남시 분당구 야탑동","2**","8m미만","24.00","월세","202604","28","6,000","30","2001","장미로122번길","202605~202805","신규","-","","","단독다가구"
"67","경기도 성남시 분당구 이매동","2**","8m미만","50.00","월세","202604","27","11,000","5","2002","이매로89번길","202605~202805","신규","-","","","단독다가구"
"68","경기도 성남시 분당구 정자동","6*","25m미만","21.00","월세","202604","27","500","40","1994","느티로69번길","202605~202805","신규","-","","","단독다가구"
"69","경기도 성남시 분당구 정자동","3*","8m미만","20.00","월세","202604","27","1,000","63","1996","내정로119번길","202605~202805","신규","-","","","단독다가구"
"70","경기도 성남시 분당구 정자동","2**","8m미만","20.00","월세","202604","27","500","40","1996","불곡남로25번길","202605~202705","신규","-","","","단독다가구"
"71","경기도 성남시 분당구 정자동","2**","8m미만","22.00","월세","202604","27","1,000","45","1995","불곡남로33번길","202605~202705","신규","-","","","단독다가구"
"72","경기도 성남시 분당구 서현동","8*","12m미만","22.00","월세","202604","27","2,000","55","2002","서현로247번길","202605~202805","신규","-","","","단독다가구"
"73","경기도 성남시 분당구 수내동","1**","8m미만","84.98","전세","202604","27","20,000","0","1997","발이봉남로25번길","202604~202804","신규","-","","","단독다가구"
"74","경기도 성남시 분당구 서현동","3**","8m미만","19.00","월세","202604","27","3,000","15","2000","불정로420번길","202605~202805","신규","-","","","단독다가구"
"75","경기도 성남시 분당구 분당동","1**","12m미만","42.00","월세","202604","27","3,000","75","1997","서현로478번길","202605~202805","신규","-","","","단독다가구"
"76","경기도 성남시 분당구 분당동","1**","8m미만","27.00","월세","202604","27","1,000","40","1998","선지봉로16번길","202604~202704","신규","-","","","단독다가구"
"77","경기도 성남시 분당구 야탑동","3**","8m미만","112.09","전세","202604","27","33,250","0","1995","장미로100번길","202604~202804","갱신","-","31,250","0","단독다가구"
"78","경기도 성남시 분당구 서현동","3**","8m미만","42.90","전세","202604","27","22,000","0","1994","불정로426번길","202605~202805","갱신","사용","22,000","0","단독다가구"
"79","경기도 성남시 분당구 구미동","1**","12m미만","25.00","월세","202604","27","1,000","50","1996","금곡로23번길","202605~202805","신규","-","","","단독다가구"
"80","경기도 성남시 분당구 율동","2**","8m미만","100.87","전세","202604","27","40,000","0","2017","새마을로165번길","202606~202806","신규","-","","","단독다가구"
"81","경기도 성남시 분당구 야탑동","2**","8m미만","55.00","월세","202604","25","2,500","50","1998","장미로148번길","202606~202806","신규","-","","","단독다가구"
"82","경기도 성남시 분당구 율동","2**","8m미만","25.00","월세","202604","25","500","55","2008","새마을로177번길","202604~202704","신규","-","","","단독다가구"
"83","경기도 성남시 분당구 판교동","6**","25m미만","66.00","월세","202604","24","13,000","60","2010","판교공원로5길","202604~203004","신규","-","","","단독다가구"
