"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-13 ~ 2026-05-12"
"실거래구분 : 아파트(전월세)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 수정구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"29","경기도 성남시 수정구 창곡동","597","0597","0000","위례포레스트부영","월세","85.9695","202605","04","48,699","24","8","2019","헌릉로 1005","202606~202706","갱신","-","47,933","23","아파트"
"30","경기도 성남시 수정구 수진동","4663","4663","0000","삼부","월세","59.7600","202605","04","5,000","135","14","1996","모란로 65","202606~202806","신규","-","","","아파트"
"31","경기도 성남시 수정구 신흥동","6963","6963","0000","산성역자이푸르지오2단지","전세","59.9800","202605","04","48,000","0","16","2024","수정로 288","202605~202805","신규","-","","","아파트"
"32","경기도 성남시 수정구 양지동","743-1","0743","0001","통보3","전세","69.3000","202605","04","26,000","0","6","1983","논골로 34","202608~202808","신규","-","","","아파트"
"33","경기도 성남시 수정구 창곡동","519","0519","0000","위례센트럴푸르지오","월세","101.9650","202605","04","73,000","15","11","2016","위례순환로 211","202607~202807","갱신","사용","73,000","0","아파트"
"34","경기도 성남시 수정구 창곡동","567","0567","0000","위례 래미안이편한세상","전세","84.9800","202605","04","87,000","0","2","2016","위례동로 61","202607~202807","신규","-","","","아파트"
"35","경기도 성남시 수정구 창곡동","597","0597","0000","위례포레스트부영","전세","134.3577","202605","04","74,750","0","12","2019","헌릉로 1005","202605~202705","갱신","-","73,573","0","아파트"
"36","경기도 성남시 수정구 창곡동","597","0597","0000","위례포레스트부영","전세","85.9695","202605","04","54,363","0","12","2019","헌릉로 1005","202606~202706","갱신","-","53,507","0","아파트"
"37","경기도 성남시 수정구 창곡동","597","0597","0000","위례포레스트부영","전세","85.4942","202605","04","54,363","0","2","2019","헌릉로 1005","202606~202706","갱신","-","53,507","0","아파트"
"38","경기도 성남시 수정구 창곡동","597","0597","0000","위례포레스트부영","전세","85.9695","202605","04","54,363","0","13","2019","헌릉로 1005","202605~202705","갱신","-","53,507","0","아파트"
"39","경기도 성남시 수정구 창곡동","597","0597","0000","위례포레스트부영","전세","134.3577","202605","04","74,750","0","12","2019","헌릉로 1005","202605~202705","갱신","-","73,573","0","아파트"
"40","경기도 성남시 수정구 창곡동","504","0504","0000","위례센트럴자이","월세","74.9900","202605","04","24,500","165","3","2017","위례광장로 97","202606~202806","갱신","-","20,000","170","아파트"
"41","경기도 성남시 수정구 고등동","578","0578","0000","고등마을","월세","16.4500","202605","03","5,242","7","7","2019","고등로 57","202607~202806","갱신","-","3,564","15","아파트"
"42","경기도 성남시 수정구 단대동","6986","6986","0000","코오롱하늘채","월세","84.9835","202605","03","40,000","44","7","2013","단대로15번길 2","202607~202807","갱신","사용","40,000","35","아파트"
