gu_name,dong_name,admi_cd,total_commute,subway_share,bus_share,car_share,other_share,avg_stay_duration,short_stay_share,axis_commute_share,seoul_commute_share,accessibility_score,vulnerability_score,high_demand_low_access,bus,car,subway,walk,express_bus,rail,air,other,total_od_commute
분당구,금곡동,41135662,4119421.0999999996,0.28732819521655606,0.1003873019925057,0.4485664429887976,0.1637180598021407,415.330943408796,0.036061962686941625,0.3910496553787414,0.258531270809163,0.6104719046194031,-0.6104719046194031,-0.20681775121336377,413537.57,1847834.0699999998,1183625.83,336989.65,534.53,728.45,8.870000000000001,336162.13,6447730.5
분당구,정자1동,41135550,4743516.48,0.25508114815277294,0.10564138484873567,0.40455249562029555,0.23472497137819576,420.5244426525108,0.035013779482009934,0.4690967779866926,0.24237705271341412,0.6069789930610145,-0.6069789930610145,0.19914981107112006,501111.65,1919001.43,1209981.6300000001,672886.0700000001,853.9699999999999,907.35,25.33,438749.05000000005,7827874.87
분당구,구미1동,41135665,2296506.12,0.35193686311621936,0.15924455276435318,0.36905098254212354,0.11976760157730389,420.8973511676076,0.034384715682795566,0.3187171295872815,0.24612467711319674,0.5889783332227007,-0.5889783332227007,-1.3331826279736503,365706.09,847527.84,808225.16,177821.68,170.0,402.23,5.92,96647.20000000001,3812857.13
분당구,정자동,41135545,2223495.3600000003,0.2543565460824708,0.12631088197998305,0.42671613220726484,0.19261643973028122,419.8451258504537,0.03480081019822771,0.42247805009303385,0.24317651405053878,0.4574365118272895,-0.4574365118272895,-1.133299895819115,280851.66,948801.3400000001,565560.6000000001,245877.44999999998,237.53,978.9699999999999,5.75,181182.06,3655825.29
분당구,수내1동,41135520,2569378.54,0.19603328281865387,0.15232403630178992,0.46749586380526087,0.18414681707429534,423.00517560001106,0.03272253531003649,0.47621431895447636,0.23428137855224232,0.2669025360482058,-0.2669025360482058,-0.5547301292337619,391378.11,1201173.84,503683.70999999996,281770.53,394.99,892.05,8.49,190076.82,4314656.36
분당구,정자2동,41135560,2309769.66,0.2043823192309141,0.1496698073348145,0.48295788074383134,0.16298999269043993,424.28466109767845,0.031024032933223304,0.39664754067385044,0.2585494280675173,0.1805939990406411,-0.1805939990406411,-0.5590712114878219,345702.78,1115521.46,472076.07999999996,191359.09,142.16,692.8199999999999,4.17,184271.09999999998,3411462.12
분당구,이매1동,41135600,3842569.54,0.23303231358045898,0.1880865167114191,0.4567747809711727,0.12210638873694919,418.706883341661,0.03271562653359294,0.328126624890508,0.2882397491141874,0.1657160974413533,-0.1657160974413533,0.44980866117072127,722735.52,1755188.8599999999,895442.87,257302.75000000003,306.81,687.63,2.38,210902.72,5398921.47
분당구,백현동,41135657,3981835.7199999997,0.17891546515133477,0.18329134382269294,0.484560121430625,0.15323306959534733,413.6474979854519,0.03454458437577129,0.4517967862962257,0.25879837938739597,0.15533044615077765,-0.15533044615077765,0.5584092108977898,729836.02,1929438.8,712411.99,335103.20999999996,416.40999999999997,944.53,35.79,273648.97,6284919.65
분당구,삼평동,41135655,4169653.8800000004,0.16539023857778815,0.21364888205061278,0.4444088822067888,0.1765519971648102,417.320035237577,0.03335354300438961,0.5184180126471268,0.21960962332966033,0.09924478013952148,-0.09924478013952148,0.7837594629306295,890841.89,1853031.2200000002,689620.05,513608.89999999997,495.76,1553.17,59.43,220443.46000000002,7488152.91
분당구,이매2동,41135610,828356.48,0.17717944332372457,0.1766916340172772,0.534283681827418,0.11184524083158014,408.7256696695365,0.0330790917456214,0.3616664000185766,0.3028676075753149,0.06278206183587182,-0.06278206183587182,-1.2863020893869186,146363.66,442577.35,146767.74,52118.740000000005,57.52,465.69,2.77,40003.009999999995,1338030.71
분당구,정자3동,41135570,2486522.8000000003,0.20800618840092677,0.1410780468210466,0.459828801891541,0.19108696288648552,413.49378240078875,0.0356758281082321,0.3314304162665505,0.24195008791643066,-0.0035752423438671077,0.0035752423438671077,-0.10067652045473366,350793.77999999997,1143374.8,517212.13,288797.15,530.51,354.02,0.0,185460.41,4022405.1100000003
분당구,구미동,41135670,4620175.84,0.27987991037154986,0.19291456448116484,0.4116934540742501,0.11551207107303517,413.3692959552812,0.03582875321905497,0.26032587923247685,0.21846815142385284,-0.012021195372614535,0.012021195372614535,1.2806892276569446,891299.21,1902096.15,1293094.4,319035.62,599.83,1405.8500000000001,23.14,212621.63999999998,7355232.74
분당구,서현1동,41135580,4958737.59,0.1653929463123698,0.22484939357317357,0.42401393335274273,0.185743726761714,417.347121353663,0.03624395659944571,0.4696724649426697,0.20701000585070808,-0.07793567430702719,0.07793567430702719,1.620941599196334,1114969.1400000001,2102573.83,820140.22,638713.0700000001,559.2900000000001,1031.99,29.73,280720.32,8979494.36
분당구,야탑2동,41135630,1498871.22,0.19559752438238157,0.23863750616280432,0.4596192993818375,0.10614567007297665,414.8544458782123,0.03177282301811092,0.3201430223953599,0.2810697464014302,-0.11937618212162628,0.11937618212162628,-0.5156715790147963,357686.89,688910.14,293175.5,106936.44,227.97,106.73,0.0,51827.55,2191771.43
분당구,수내2동,41135530,330797.93,0.1066688657936886,0.12435440572436472,0.6407219960536029,0.1282547324283438,423.36118648868205,0.02864098937983076,0.36936473128539327,0.2685767840096365,-0.25369661069814936,0.25369661069814936,-1.0114163914023078,41136.18,211949.51,35285.84,22210.550000000003,50.33,122.61999999999999,2.79,20040.109999999997,560284.95
분당구,운중동,41135680,5273954.58,0.07595436477953134,0.16074113023552053,0.6798484278945004,0.08345607709044775,411.8302753136717,0.03482260744080962,0.416372139097271,0.2927592486959643,-0.25553052120230063,0.25553052120230063,2.155627328406948,847741.42,3585489.73,400579.87,118326.64,503.28999999999996,733.02,50.75,320529.86,7510423.12
분당구,서현2동,41135590,2716440.84,0.13998040170828827,0.22507693191654418,0.5198345125749178,0.11510815380024988,419.64285188850283,0.03371038627147131,0.3620525843504159,0.27385977641301196,-0.2621063139889738,0.2621063139889738,0.5311541656341496,611408.17,1412099.7,380248.48,149112.01,190.95999999999998,436.92,8.21,162936.39,4002609.49
분당구,수내3동,41135540,1869202.42,0.14523956693786008,0.19451014299457198,0.5279796609721915,0.13227062909537643,429.29150555957443,0.032586128365915554,0.3701617824716516,0.23444065413104956,-0.2893140178699317,0.2893140178699317,0.03993201941411195,363578.82999999996,986900.86,271482.15,107885.20000000001,235.4,523.32,8.3,138588.36,2717262.85
분당구,판교동,41135650,3554516.18,0.0748561144543728,0.18815645396780836,0.6269879294796177,0.10999950209820117,417.5239927179625,0.03276522151039977,0.37957697679436364,0.3077155070014815,-0.3501028803497508,0.3501028803497508,1.2324923751700547,668805.16,2228638.74,266077.27,155964.58000000002,272.34000000000003,924.08,14.83,233819.18,4880251.42
