gu_name,dong_name,admi_cd,total_commute,subway_share,bus_share,car_share,other_share,avg_stay_duration,short_stay_share,axis_commute_share,seoul_commute_share,accessibility_score,vulnerability_score,high_demand_low_access,bus,car,subway,walk,express_bus,rail,air,other,total_od_commute
분당구,금곡동,41135662,4119421.1,0.287328195216556,0.1003873019925057,0.4485664429887976,0.1637180598021407,415.330943408796,0.0360619626869416,0.3910496553787414,0.258531270809163,0.6104719046194031,-0.6104719046194031,-0.2068177512133637,413537.57,1847834.07,1183625.83,336989.65,534.53,728.45,8.870000000000001,336162.13,6447730.5
분당구,정자1동,41135550,4743516.48,0.2550811481527729,0.1056413848487356,0.4045524956202955,0.2347249713781957,420.5244426525108,0.0350137794820099,0.4690967779866926,0.2423770527134141,0.6069789930610145,-0.6069789930610145,0.19914981107112,501111.65,1919001.43,1209981.63,672886.0700000001,853.9699999999999,907.35,25.33,438749.0500000001,7827874.87
분당구,구미1동,41135665,2296506.12,0.3519368631162193,0.1592445527643531,0.3690509825421235,0.1197676015773038,420.8973511676076,0.0343847156827955,0.3187171295872815,0.2461246771131967,0.5889783332227007,-0.5889783332227007,-1.3331826279736505,365706.09,847527.84,808225.16,177821.68,170.0,402.23,5.92,96647.2,3812857.13
분당구,정자동,41135545,2223495.3600000003,0.2543565460824708,0.126310881979983,0.4267161322072648,0.1926164397302812,419.8451258504537,0.0348008101982277,0.4224780500930338,0.2431765140505387,0.4574365118272895,-0.4574365118272895,-1.133299895819115,280851.66,948801.34,565560.6000000001,245877.45,237.53,978.97,5.75,181182.06,3655825.29
분당구,수내1동,41135520,2569378.54,0.1960332828186538,0.1523240363017899,0.4674958638052608,0.1841468170742953,423.0051756000111,0.0327225353100364,0.4762143189544763,0.2342813785522423,0.2669025360482058,-0.2669025360482058,-0.5547301292337619,391378.11,1201173.84,503683.71,281770.53,394.99,892.05,8.49,190076.82,4314656.36
분당구,정자2동,41135560,2309769.66,0.2043823192309141,0.1496698073348145,0.4829578807438313,0.1629899926904399,424.28466109767845,0.0310240329332233,0.3966475406738504,0.2585494280675173,0.1805939990406411,-0.1805939990406411,-0.5590712114878219,345702.78,1115521.46,472076.08,191359.09,142.16,692.8199999999999,4.17,184271.1,3411462.12
분당구,이매1동,41135600,3842569.54,0.2330323135804589,0.1880865167114191,0.4567747809711727,0.1221063887369491,418.706883341661,0.0327156265335929,0.328126624890508,0.2882397491141874,0.1657160974413533,-0.1657160974413533,0.4498086611707212,722735.52,1755188.86,895442.87,257302.75000000003,306.81,687.63,2.38,210902.72,5398921.47
분당구,백현동,41135657,3981835.72,0.1789154651513347,0.1832913438226929,0.484560121430625,0.1532330695953473,413.6474979854519,0.0345445843757712,0.4517967862962257,0.2587983793873959,0.1553304461507776,-0.1553304461507776,0.5584092108977898,729836.02,1929438.8,712411.99,335103.21,416.41,944.53,35.79,273648.97,6284919.65
분당구,삼평동,41135655,4169653.88,0.1653902385777881,0.2136488820506127,0.4444088822067888,0.1765519971648102,417.320035237577,0.0333535430043896,0.5184180126471268,0.2196096233296603,0.0992447801395214,-0.0992447801395214,0.7837594629306295,890841.89,1853031.22,689620.05,513608.9,495.76,1553.17,59.43,220443.46,7488152.91
분당구,이매2동,41135610,828356.48,0.1771794433237245,0.1766916340172772,0.534283681827418,0.1118452408315801,408.7256696695365,0.0330790917456214,0.3616664000185766,0.3028676075753149,0.0627820618358718,-0.0627820618358718,-1.2863020893869186,146363.66,442577.35,146767.74,52118.740000000005,57.52,465.69,2.77,40003.01,1338030.71
분당구,정자3동,41135570,2486522.8000000003,0.2080061884009267,0.1410780468210466,0.459828801891541,0.1910869628864855,413.4937824007888,0.0356758281082321,0.3314304162665505,0.2419500879164306,-0.0035752423438671,0.0035752423438671,-0.1006765204547336,350793.78,1143374.8,517212.13,288797.15,530.51,354.02,0.0,185460.41,4022405.11
분당구,구미동,41135670,4620175.84,0.2798799103715498,0.1929145644811648,0.4116934540742501,0.1155120710730351,413.3692959552812,0.0358287532190549,0.2603258792324768,0.2184681514238528,-0.0120211953726145,0.0120211953726145,1.2806892276569446,891299.21,1902096.15,1293094.4,319035.62,599.83,1405.85,23.14,212621.64,7355232.74
분당구,서현1동,41135580,4958737.59,0.1653929463123698,0.2248493935731735,0.4240139333527427,0.185743726761714,417.347121353663,0.0362439565994457,0.4696724649426697,0.207010005850708,-0.0779356743070271,0.0779356743070271,1.620941599196334,1114969.14,2102573.83,820140.22,638713.0700000001,559.2900000000001,1031.99,29.73,280720.32,8979494.36
분당구,야탑2동,41135630,1498871.22,0.1955975243823815,0.2386375061628043,0.4596192993818375,0.1061456700729766,414.8544458782123,0.0317728230181109,0.3201430223953599,0.2810697464014302,-0.1193761821216262,0.1193761821216262,-0.5156715790147963,357686.89,688910.14,293175.5,106936.44,227.97,106.73,0.0,51827.55,2191771.43
분당구,수내2동,41135530,330797.93,0.1066688657936886,0.1243544057243647,0.6407219960536029,0.1282547324283438,423.3611864886821,0.0286409893798307,0.3693647312853932,0.2685767840096365,-0.2536966106981493,0.2536966106981493,-1.0114163914023078,41136.18,211949.51,35285.84,22210.550000000003,50.33,122.62,2.79,20040.11,560284.95
