gu_name,행정구역읍면동코드,total_workers,regular_workers,self_employed,self_employed_ratio,industry_A,industry_B,industry_C,industry_D,industry_E,industry_F,industry_G,industry_H,industry_I,industry_J,industry_K,industry_L,industry_M,industry_N,industry_O,industry_P,industry_Q,industry_R,industry_S
수정구,570,1955.0,908.0,684.0,0.34987212276214835,0.0,0.0,57.0,0.0,0.0,117.0,442.0,165.0,150.0,21.0,0.0,45.0,89.0,38.0,0.0,348.0,329.0,24.0,130.0
수정구,580,3289.0,1307.0,1391.0,0.42292490118577075,0.0,0.0,48.0,0.0,0.0,608.0,575.0,148.0,418.0,48.0,49.0,74.0,93.0,37.0,0.0,66.0,842.0,100.0,183.0
수정구,590,5181.0,2949.0,1235.0,0.2383709708550473,0.0,0.0,59.0,0.0,0.0,401.0,738.0,265.0,513.0,165.0,208.0,151.0,221.0,303.0,155.0,568.0,995.0,129.0,310.0
수정구,600,3724.0,2329.0,943.0,0.2532223415682062,0.0,0.0,48.0,0.0,0.0,152.0,418.0,165.0,253.0,22.0,56.0,79.0,303.0,132.0,800.0,586.0,566.0,33.0,111.0
수정구,610,1083.0,572.0,294.0,0.27146814404432135,0.0,0.0,35.0,0.0,0.0,74.0,104.0,98.0,160.0,29.0,0.0,24.0,27.0,18.0,0.0,230.0,183.0,56.0,45.0
수정구,620,1936.0,991.0,575.0,0.297004132231405,0.0,0.0,28.0,0.0,0.0,93.0,195.0,99.0,265.0,12.0,0.0,42.0,118.0,44.0,0.0,610.0,248.0,61.0,121.0
수정구,640,996.0,636.0,207.0,0.20783132530120482,0.0,0.0,0.0,0.0,0.0,115.0,417.0,15.0,115.0,9.0,0.0,25.0,45.0,84.0,0.0,94.0,0.0,5.0,72.0
수정구,650,5199.0,3392.0,901.0,0.1733025581842662,0.0,0.0,190.0,3.0,0.0,737.0,1151.0,121.0,507.0,320.0,76.0,229.0,1079.0,159.0,139.0,198.0,114.0,80.0,96.0
수정구,660,22245.0,20230.0,693.0,0.031153068105192177,3.0,0.0,3777.0,0.0,0.0,809.0,2176.0,579.0,991.0,7101.0,198.0,305.0,2630.0,2042.0,767.0,125.0,232.0,89.0,421.0
수정구,670,9519.0,6332.0,1031.0,0.10830969639668032,0.0,0.0,156.0,0.0,0.0,989.0,1308.0,372.0,480.0,170.0,101.0,132.0,902.0,524.0,0.0,3513.0,282.0,97.0,493.0
수정구,680,17334.0,9748.0,3741.0,0.21581862236067845,0.0,0.0,266.0,11.0,0.0,1992.0,2896.0,800.0,1780.0,567.0,360.0,664.0,1618.0,507.0,191.0,2314.0,2237.0,415.0,716.0
중원구,510,14584.0,6752.0,4396.0,0.30142622051563356,0.0,0.0,720.0,11.0,101.0,802.0,2224.0,699.0,2491.0,131.0,309.0,410.0,407.0,1461.0,535.0,957.0,2159.0,445.0,722.0
중원구,530,2886.0,1383.0,963.0,0.33367983367983367,0.0,0.0,97.0,0.0,0.0,63.0,419.0,160.0,312.0,17.0,249.0,156.0,40.0,26.0,0.0,442.0,726.0,69.0,110.0
중원구,540,5191.0,2285.0,2013.0,0.38778655365054904,0.0,0.0,218.0,0.0,0.0,227.0,669.0,307.0,696.0,62.0,19.0,144.0,324.0,55.0,141.0,954.0,897.0,157.0,321.0
중원구,550,667.0,255.0,321.0,0.48125937031484256,0.0,0.0,4.0,0.0,0.0,53.0,103.0,102.0,31.0,10.0,0.0,23.0,14.0,11.0,0.0,81.0,130.0,3.0,102.0
중원구,560,2649.0,963.0,1242.0,0.46885617214043035,0.0,0.0,49.0,0.0,0.0,203.0,611.0,283.0,331.0,22.0,37.0,109.0,60.0,61.0,0.0,270.0,374.0,82.0,157.0
중원구,570,45629.0,40375.0,3441.0,0.07541256656950623,46.0,0.0,23045.0,0.0,97.0,1972.0,6160.0,2437.0,719.0,1360.0,193.0,702.0,4929.0,1241.0,562.0,186.0,1023.0,111.0,846.0
중원구,580,4166.0,3278.0,537.0,0.12890062409985598,0.0,0.0,1552.0,0.0,0.0,176.0,901.0,117.0,184.0,140.0,0.0,68.0,525.0,156.0,0.0,5.0,182.0,54.0,106.0
중원구,590,1734.0,536.0,957.0,0.5519031141868512,0.0,0.0,158.0,0.0,0.0,117.0,416.0,87.0,257.0,6.0,18.0,59.0,14.0,22.0,0.0,81.0,299.0,56.0,144.0
중원구,600,5757.0,3445.0,1578.0,0.2741010943199583,0.0,0.0,499.0,0.0,323.0,528.0,1054.0,914.0,301.0,16.0,7.0,122.0,179.0,233.0,0.0,454.0,605.0,53.0,469.0
중원구,610,8848.0,6189.0,1687.0,0.1906645569620253,0.0,0.0,380.0,10.0,50.0,687.0,1316.0,612.0,552.0,319.0,157.0,273.0,497.0,218.0,1723.0,595.0,856.0,220.0,383.0
중원구,620,1819.0,694.0,935.0,0.514018691588785,0.0,0.0,23.0,0.0,0.0,76.0,354.0,171.0,300.0,24.0,25.0,113.0,25.0,37.0,0.0,148.0,316.0,83.0,124.0
